DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
09.07.2018;11.07.2018;NEG_NT;0;678;Netz an Anbieter;13;13;;
09.07.2018;11.07.2018;NEG_NT;0;678;Netz an Anbieter;13;13;;
09.07.2018;11.07.2018;NEG_NT;0;678;Netz an Anbieter;5;5;;
09.07.2018;11.07.2018;NEG_HT;0;17,83;Anbieter an Netz;27;27;;
09.07.2018;11.07.2018;NEG_HT;0;17,57;Anbieter an Netz;27;27;;
09.07.2018;11.07.2018;NEG_HT;0;16,96;Anbieter an Netz;27;27;;
09.07.2018;11.07.2018;NEG_HT;0;16,46;Anbieter an Netz;20;20;;
09.07.2018;11.07.2018;NEG_HT;0;16,11;Anbieter an Netz;20;20;;
09.07.2018;11.07.2018;NEG_HT;0;15,41;Anbieter an Netz;20;20;;
09.07.2018;11.07.2018;NEG_HT;0;15,07;Anbieter an Netz;20;20;;
09.07.2018;11.07.2018;NEG_HT;0;14,35;Anbieter an Netz;20;20;;
09.07.2018;11.07.2018;NEG_HT;0;13,84;Anbieter an Netz;20;20;;
09.07.2018;11.07.2018;NEG_HT;0;13,54;Anbieter an Netz;10;10;;
09.07.2018;11.07.2018;NEG_HT;0;12,79;Anbieter an Netz;10;10;;
09.07.2018;11.07.2018;NEG_HT;0;12,48;Anbieter an Netz;10;10;;
09.07.2018;11.07.2018;NEG_HT;0;12,2;Anbieter an Netz;10;10;;
09.07.2018;11.07.2018;NEG_HT;0;11,38;Anbieter an Netz;10;10;;
09.07.2018;11.07.2018;NEG_HT;0;11,14;Anbieter an Netz;10;10;;
09.07.2018;11.07.2018;NEG_NT;0;11,91;Anbieter an Netz;27;27;;
09.07.2018;11.07.2018;NEG_NT;0;11,09;Anbieter an Netz;27;27;;
09.07.2018;11.07.2018;NEG_NT;0;10,81;Anbieter an Netz;27;27;;
09.07.2018;11.07.2018;NEG_NT;0;9,85;Anbieter an Netz;20;20;;
09.07.2018;11.07.2018;NEG_NT;0;9,1;Anbieter an Netz;20;20;;
09.07.2018;11.07.2018;NEG_NT;0;8,2;Anbieter an Netz;20;20;;
09.07.2018;11.07.2018;NEG_NT;0;36,71;Netz an Anbieter;20;20;;
09.07.2018;11.07.2018;NEG_NT;0;28,66;Netz an Anbieter;20;20;;
09.07.2018;11.07.2018;NEG_NT;0;22,43;Netz an Anbieter;10;10;;
09.07.2018;11.07.2018;NEG_HT;0;16,45;Anbieter an Netz;40;40;;
09.07.2018;11.07.2018;NEG_HT;0;16,45;Anbieter an Netz;40;40;;
09.07.2018;11.07.2018;NEG_HT;0;16,45;Anbieter an Netz;40;40;;
09.07.2018;11.07.2018;NEG_HT;0;16,45;Anbieter an Netz;40;40;;
09.07.2018;11.07.2018;NEG_HT;0;16,45;Anbieter an Netz;40;40;;
09.07.2018;11.07.2018;NEG_HT;0;16,45;Anbieter an Netz;5;5;;
09.07.2018;11.07.2018;NEG_NT;0;8,68;Anbieter an Netz;40;40;;
09.07.2018;11.07.2018;NEG_NT;0;8,68;Anbieter an Netz;40;40;;
09.07.2018;11.07.2018;NEG_NT;0;8,68;Anbieter an Netz;40;40;;
09.07.2018;11.07.2018;NEG_NT;0;8,68;Anbieter an Netz;40;40;;
09.07.2018;11.07.2018;NEG_NT;0;8,68;Anbieter an Netz;40;40;;
09.07.2018;11.07.2018;NEG_NT;0;8,68;Anbieter an Netz;40;40;;
09.07.2018;11.07.2018;NEG_NT;0;5350;Netz an Anbieter;8;8;;
09.07.2018;11.07.2018;NEG_NT;0;5100;Netz an Anbieter;7;7;;
09.07.2018;11.07.2018;NEG_NT;0;8494;Netz an Anbieter;50;40;;
09.07.2018;11.07.2018;NEG_NT;0;5897;Netz an Anbieter;8;8;;
09.07.2018;11.07.2018;NEG_NT;0;5897;Netz an Anbieter;9;9;;
09.07.2018;11.07.2018;NEG_NT;0;427;Netz an Anbieter;5;5;;
09.07.2018;11.07.2018;NEG_NT;0;543;Netz an Anbieter;12;12;;
09.07.2018;11.07.2018;NEG_NT;0;479;Netz an Anbieter;7;7;;
09.07.2018;11.07.2018;NEG_HT;0;16,8;Anbieter an Netz;5;5;;
