DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
25.06.2018;01.07.2018;NEG_HT;0;789;Netz an Anbieter;5;5;;
25.06.2018;01.07.2018;NEG_NT;0;987;Netz an Anbieter;5;5;;
25.06.2018;01.07.2018;NEG_HT;0;469;Netz an Anbieter;15;15;;
25.06.2018;01.07.2018;NEG_HT;0;469;Netz an Anbieter;14;14;;
25.06.2018;01.07.2018;NEG_HT;0;469;Netz an Anbieter;6;6;;
25.06.2018;01.07.2018;NEG_NT;0;949;Netz an Anbieter;13;13;;
25.06.2018;01.07.2018;NEG_NT;0;949;Netz an Anbieter;14;14;;
25.06.2018;01.07.2018;NEG_NT;0;949;Netz an Anbieter;5;5;;
25.06.2018;01.07.2018;NEG_HT;0;15,2;Anbieter an Netz;40;40;;
25.06.2018;01.07.2018;NEG_HT;0;15,2;Anbieter an Netz;40;40;;
25.06.2018;01.07.2018;NEG_HT;0;15,2;Anbieter an Netz;40;40;;
25.06.2018;01.07.2018;NEG_HT;0;15,2;Anbieter an Netz;40;40;;
25.06.2018;01.07.2018;NEG_HT;0;15,2;Anbieter an Netz;40;40;;
25.06.2018;01.07.2018;NEG_HT;0;16,05;Anbieter an Netz;5;5;;
25.06.2018;01.07.2018;NEG_NT;0;7,2;Anbieter an Netz;40;40;;
25.06.2018;01.07.2018;NEG_NT;0;7,2;Anbieter an Netz;40;40;;
25.06.2018;01.07.2018;NEG_NT;0;7,2;Anbieter an Netz;40;40;;
25.06.2018;01.07.2018;NEG_NT;0;7,2;Anbieter an Netz;40;40;;
25.06.2018;01.07.2018;NEG_NT;0;7,2;Anbieter an Netz;40;40;;
25.06.2018;01.07.2018;NEG_NT;0;2,5;Anbieter an Netz;40;40;;
25.06.2018;01.07.2018;NEG_NT;0;8,1;Anbieter an Netz;5;5;;
25.06.2018;01.07.2018;NEG_NT;0;64,95;Netz an Anbieter;40;40;;
25.06.2018;01.07.2018;NEG_NT;0;64,95;Netz an Anbieter;40;40;;
25.06.2018;01.07.2018;NEG_NT;0;64,95;Netz an Anbieter;40;40;;
25.06.2018;01.07.2018;NEG_NT;0;64,95;Netz an Anbieter;40;40;;
25.06.2018;01.07.2018;NEG_HT;0;13,91;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_HT;0;13,73;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_HT;0;13,27;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_HT;0;13,09;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_HT;0;12,92;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_HT;0;12,43;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_HT;0;12,29;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_HT;0;11,86;Anbieter an Netz;21;21;;
25.06.2018;01.07.2018;NEG_HT;0;11,54;Anbieter an Netz;30;30;;
25.06.2018;01.07.2018;NEG_HT;0;11,43;Anbieter an Netz;30;30;;
25.06.2018;01.07.2018;NEG_HT;0;11,04;Anbieter an Netz;30;30;;
25.06.2018;01.07.2018;NEG_NT;0;8,03;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_NT;0;7,73;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_NT;0;7,4;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_NT;0;7,27;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_NT;0;7,05;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_NT;0;6,85;Anbieter an Netz;10;10;;
25.06.2018;01.07.2018;NEG_NT;0;6,58;Anbieter an Netz;20;20;;
25.06.2018;01.07.2018;NEG_NT;0;6,13;Anbieter an Netz;20;20;;
25.06.2018;01.07.2018;NEG_NT;0;6,01;Anbieter an Netz;20;20;;
25.06.2018;01.07.2018;NEG_NT;0;5,85;Anbieter an Netz;20;20;;
25.06.2018;01.07.2018;NEG_NT;0;5,48;Anbieter an Netz;27;27;;
25.06.2018;01.07.2018;NEG_NT;0;5,29;Anbieter an Netz;27;27;;
25.06.2018;01.07.2018;NEG_NT;0;5;Anbieter an Netz;27;27;;
25.06.2018;01.07.2018;NEG_NT;0;348;Netz an Anbieter;5;5;;
25.06.2018;01.07.2018;NEG_HT;0;950;Netz an Anbieter;5;5;;
25.06.2018;01.07.2018;NEG_NT;0;1050;Netz an Anbieter;5;5;;
25.06.2018;01.07.2018;NEG_HT;0;599;Netz an Anbieter;20;20;;
25.06.2018;01.07.2018;NEG_HT;0;599;Netz an Anbieter;15;15;;
25.06.2018;01.07.2018;NEG_HT;0;599;Netz an Anbieter;15;15;;
25.06.2018;01.07.2018;NEG_HT;0;599;Netz an Anbieter;15;15;;
25.06.2018;01.07.2018;NEG_HT;0;599;Netz an Anbieter;10;10;;
25.06.2018;01.07.2018;NEG_HT;0;599;Netz an Anbieter;15;15;;
25.06.2018;01.07.2018;NEG_HT;0;599;Netz an Anbieter;14;14;;
25.06.2018;01.07.2018;NEG_HT;0;599;Netz an Anbieter;5;5;;
25.06.2018;01.07.2018;NEG_HT;0;599;Netz an Anbieter;5;5;;
25.06.2018;01.07.2018;NEG_NT;0;9499;Netz an Anbieter;50;50;;
25.06.2018;01.07.2018;NEG_HT;0;827;Netz an Anbieter;7;7;;
25.06.2018;01.07.2018;NEG_NT;0;997;Netz an Anbieter;7;7;;
25.06.2018;01.07.2018;NEG_HT;0;525;Netz an Anbieter;8;8;;
25.06.2018;01.07.2018;NEG_HT;0;550;Netz an Anbieter;7;7;;
25.06.2018;01.07.2018;NEG_NT;0;5350;Netz an Anbieter;8;8;;
25.06.2018;01.07.2018;NEG_NT;0;5100;Netz an Anbieter;7;7;;
25.06.2018;01.07.2018;NEG_NT;0;1084;Netz an Anbieter;17;17;;
25.06.2018;01.07.2018;NEG_HT;0;1099;Netz an Anbieter;7;5;;
25.06.2018;01.07.2018;NEG_HT;0;559;Netz an Anbieter;5;5;;
25.06.2018;01.07.2018;NEG_HT;0;418;Netz an Anbieter;5;5;;
25.06.2018;01.07.2018;NEG_NT;0;1079;Netz an Anbieter;7;7;;
