DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
12.02.2018;18.02.2018;NEG_HT;0;4,37;Anbieter an Netz;10;10;;
12.02.2018;18.02.2018;NEG_HT;0;2,48;Anbieter an Netz;10;10;;
12.02.2018;18.02.2018;NEG_HT;0;0,93;Anbieter an Netz;10;10;;
12.02.2018;18.02.2018;NEG_HT;0;0,01;Netz an Anbieter;20;20;;
12.02.2018;18.02.2018;NEG_HT;0;1,15;Netz an Anbieter;20;20;;
12.02.2018;18.02.2018;NEG_HT;0;2,5;Netz an Anbieter;20;20;;
12.02.2018;18.02.2018;NEG_HT;0;2,94;Netz an Anbieter;20;20;;
12.02.2018;18.02.2018;NEG_HT;0;4,15;Netz an Anbieter;30;30;;
12.02.2018;18.02.2018;NEG_HT;0;6,12;Netz an Anbieter;30;30;;
12.02.2018;18.02.2018;NEG_HT;0;8,44;Netz an Anbieter;13;13;;
12.02.2018;18.02.2018;NEG_HT;0;10,68;Netz an Anbieter;13;13;;
12.02.2018;18.02.2018;NEG_HT;0;3,05;Anbieter an Netz;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;0,82;Netz an Anbieter;40;40;;
12.02.2018;18.02.2018;NEG_HT;0;0,82;Netz an Anbieter;40;40;;
12.02.2018;18.02.2018;NEG_HT;0;0,82;Netz an Anbieter;40;40;;
12.02.2018;18.02.2018;NEG_HT;0;0,82;Netz an Anbieter;40;40;;
12.02.2018;18.02.2018;NEG_HT;0;6,2;Netz an Anbieter;40;40;;
12.02.2018;18.02.2018;NEG_HT;0;1,5;Netz an Anbieter;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;7,7;Netz an Anbieter;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;55;Netz an Anbieter;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;85;Netz an Anbieter;5;5;;
12.02.2018;18.02.2018;NEG_NT;0;493,75;Netz an Anbieter;20;20;;
12.02.2018;18.02.2018;NEG_HT;0;7,1;Anbieter an Netz;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;0;Anbieter an Netz;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;2,1;Anbieter an Netz;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;4,9;Netz an Anbieter;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;19,4;Netz an Anbieter;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;39,4;Netz an Anbieter;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;59,4;Netz an Anbieter;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;79,4;Netz an Anbieter;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;99,4;Netz an Anbieter;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;12,8;Netz an Anbieter;5;5;;
12.02.2018;18.02.2018;NEG_NT;0;493,75;Netz an Anbieter;7;7;;
12.02.2018;18.02.2018;NEG_NT;0;1475;Netz an Anbieter;5;5;;
12.02.2018;18.02.2018;NEG_HT;0;0,05;Netz an Anbieter;15;15;;
12.02.2018;18.02.2018;NEG_HT;0;2,33;Netz an Anbieter;15;15;;
12.02.2018;18.02.2018;NEG_HT;0;84;Netz an Anbieter;30;30;;
12.02.2018;18.02.2018;NEG_NT;0;8,8;Netz an Anbieter;15;15;;
12.02.2018;18.02.2018;NEG_NT;0;10,7;Netz an Anbieter;15;15;;
12.02.2018;18.02.2018;NEG_HT;0;113,9;Netz an Anbieter;69;59;;
12.02.2018;18.02.2018;NEG_HT;0;102,62;Netz an Anbieter;66;66;;
12.02.2018;18.02.2018;NEG_HT;0;91,34;Netz an Anbieter;69;69;;
12.02.2018;18.02.2018;NEG_HT;0;80,06;Netz an Anbieter;68;68;;
12.02.2018;18.02.2018;NEG_HT;0;68,78;Netz an Anbieter;68;68;;
12.02.2018;18.02.2018;NEG_HT;0;57,5;Netz an Anbieter;67;67;;
12.02.2018;18.02.2018;NEG_HT;0;46,22;Netz an Anbieter;70;70;;
12.02.2018;18.02.2018;NEG_HT;0;34,94;Netz an Anbieter;67;67;;
12.02.2018;18.02.2018;NEG_HT;0;23,66;Netz an Anbieter;70;70;;
12.02.2018;18.02.2018;NEG_HT;0;12,38;Netz an Anbieter;70;70;;
12.02.2018;18.02.2018;NEG_HT;0;1,1;Netz an Anbieter;62;62;;
