DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
02.07.2018;08.07.2018;NEG_HT;0;15,85;Anbieter an Netz;40;40;;
02.07.2018;08.07.2018;NEG_HT;0;15,85;Anbieter an Netz;40;40;;
02.07.2018;08.07.2018;NEG_HT;0;15,85;Anbieter an Netz;40;40;;
02.07.2018;08.07.2018;NEG_HT;0;15,85;Anbieter an Netz;40;40;;
02.07.2018;08.07.2018;NEG_HT;0;15,85;Anbieter an Netz;40;40;;
02.07.2018;08.07.2018;NEG_HT;0;16,12;Anbieter an Netz;5;5;;
02.07.2018;08.07.2018;NEG_NT;0;8,45;Netz an Anbieter;40;40;;
02.07.2018;08.07.2018;NEG_NT;0;7,63;Anbieter an Netz;40;40;;
02.07.2018;08.07.2018;NEG_NT;0;7,63;Anbieter an Netz;40;40;;
02.07.2018;08.07.2018;NEG_NT;0;7,63;Anbieter an Netz;40;40;;
02.07.2018;08.07.2018;NEG_NT;0;7,63;Anbieter an Netz;40;40;;
02.07.2018;08.07.2018;NEG_NT;0;7,63;Anbieter an Netz;40;40;;
02.07.2018;08.07.2018;NEG_NT;0;8,95;Anbieter an Netz;5;5;;
02.07.2018;08.07.2018;NEG_NT;0;64,95;Netz an Anbieter;40;40;;
02.07.2018;08.07.2018;NEG_NT;0;64,95;Netz an Anbieter;40;40;;
02.07.2018;08.07.2018;NEG_NT;0;64,95;Netz an Anbieter;40;40;;
02.07.2018;08.07.2018;NEG_NT;0;64,95;Netz an Anbieter;40;40;;
02.07.2018;08.07.2018;NEG_NT;0;788;Netz an Anbieter;13;13;;
02.07.2018;08.07.2018;NEG_NT;0;788;Netz an Anbieter;13;13;;
02.07.2018;08.07.2018;NEG_NT;0;788;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_NT;0;8999;Netz an Anbieter;7;7;;
02.07.2018;08.07.2018;NEG_HT;0;15,89;Anbieter an Netz;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;9,11;Anbieter an Netz;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;10,94;Anbieter an Netz;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;11,55;Anbieter an Netz;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;13,5;Anbieter an Netz;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;8,36;Anbieter an Netz;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;7,15;Anbieter an Netz;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;5,71;Anbieter an Netz;20;20;;
02.07.2018;08.07.2018;NEG_HT;0;4,12;Anbieter an Netz;20;20;;
02.07.2018;08.07.2018;NEG_HT;0;3,47;Anbieter an Netz;20;20;;
02.07.2018;08.07.2018;NEG_HT;0;2,43;Anbieter an Netz;20;20;;
02.07.2018;08.07.2018;NEG_HT;0;1,5;Anbieter an Netz;31;31;;
02.07.2018;08.07.2018;NEG_NT;0;8,24;Anbieter an Netz;13;13;;
02.07.2018;08.07.2018;NEG_NT;0;6,93;Anbieter an Netz;13;13;;
02.07.2018;08.07.2018;NEG_NT;0;6,58;Anbieter an Netz;13;13;;
02.07.2018;08.07.2018;NEG_NT;0;6,12;Anbieter an Netz;13;13;;
02.07.2018;08.07.2018;NEG_NT;0;5,04;Anbieter an Netz;13;13;;
02.07.2018;08.07.2018;NEG_NT;0;4,49;Anbieter an Netz;13;13;;
02.07.2018;08.07.2018;NEG_NT;0;3,64;Anbieter an Netz;13;13;;
02.07.2018;08.07.2018;NEG_NT;0;2,92;Anbieter an Netz;20;20;;
02.07.2018;08.07.2018;NEG_NT;0;2,15;Anbieter an Netz;20;20;;
02.07.2018;08.07.2018;NEG_NT;0;1,35;Anbieter an Netz;20;20;;
02.07.2018;08.07.2018;NEG_NT;0;44,32;Netz an Anbieter;10;10;;
02.07.2018;08.07.2018;NEG_NT;0;0,56;Anbieter an Netz;20;20;;
02.07.2018;08.07.2018;NEG_NT;0;52,15;Netz an Anbieter;10;10;;
02.07.2018;08.07.2018;NEG_NT;0;48,19;Netz an Anbieter;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;14,05;Anbieter an Netz;10;10;;
02.07.2018;08.07.2018;NEG_NT;0;789;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_NT;0;8999;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_NT;0;8999;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_NT;0;8999;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_NT;0;123,75;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_NT;0;509,74;Netz an Anbieter;6;6;;
02.07.2018;08.07.2018;POS_HT;0;525;Netz an Anbieter;7;7;;
02.07.2018;08.07.2018;POS_NT;0;525;Netz an Anbieter;7;7;;
02.07.2018;08.07.2018;NEG_NT;0;8499;Netz an Anbieter;50;50;;
02.07.2018;08.07.2018;NEG_NT;0;487;Netz an Anbieter;10;10;;
02.07.2018;08.07.2018;NEG_NT;0;945;Netz an Anbieter;7;7;;
02.07.2018;08.07.2018;NEG_HT;0;13,4;Anbieter an Netz;5;5;;
02.07.2018;08.07.2018;NEG_HT;0;4,4;Anbieter an Netz;5;5;;
02.07.2018;08.07.2018;NEG_HT;0;1,66;Anbieter an Netz;5;5;;
02.07.2018;08.07.2018;NEG_HT;0;34;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_HT;0;44;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_HT;0;15,61;Anbieter an Netz;5;5;;
02.07.2018;08.07.2018;NEG_HT;0;38;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_HT;0;42;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_NT;0;5350;Netz an Anbieter;8;8;;
02.07.2018;08.07.2018;NEG_NT;0;5100;Netz an Anbieter;7;7;;
02.07.2018;08.07.2018;NEG_NT;0;789;Netz an Anbieter;6;6;;
02.07.2018;08.07.2018;NEG_NT;0;689;Netz an Anbieter;7;7;;
02.07.2018;08.07.2018;NEG_NT;0;204,29;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_NT;0;216,34;Netz an Anbieter;7;7;;
02.07.2018;08.07.2018;POS_HT;0;524,93;Netz an Anbieter;7;7;;
02.07.2018;08.07.2018;POS_NT;0;524,48;Netz an Anbieter;8;8;;
02.07.2018;08.07.2018;NEG_HT;0;15,79;Anbieter an Netz;15;15;;
02.07.2018;08.07.2018;NEG_NT;0;54,97;Netz an Anbieter;20;20;;
02.07.2018;08.07.2018;NEG_NT;0;379;Netz an Anbieter;20;20;;
02.07.2018;08.07.2018;NEG_HT;0;15,9;Anbieter an Netz;35;35;;
02.07.2018;08.07.2018;NEG_HT;0;16,24;Anbieter an Netz;30;30;;
02.07.2018;08.07.2018;NEG_HT;0;0;Anbieter an Netz;93;93;;
02.07.2018;08.07.2018;NEG_HT;0;0,08;Netz an Anbieter;85;85;;
02.07.2018;08.07.2018;NEG_HT;0;0,16;Netz an Anbieter;83;83;;
02.07.2018;08.07.2018;NEG_HT;0;0,24;Netz an Anbieter;83;83;;
02.07.2018;08.07.2018;NEG_HT;0;0,32;Netz an Anbieter;81;81;;
02.07.2018;08.07.2018;NEG_HT;0;0,4;Netz an Anbieter;83;83;;
02.07.2018;08.07.2018;NEG_HT;0;0,48;Netz an Anbieter;81;81;;
02.07.2018;08.07.2018;NEG_HT;0;0,56;Netz an Anbieter;83;83;;
02.07.2018;08.07.2018;NEG_HT;0;0,64;Netz an Anbieter;82;82;;
02.07.2018;08.07.2018;NEG_HT;0;0,72;Netz an Anbieter;83;83;;
02.07.2018;08.07.2018;NEG_HT;0;0,8;Netz an Anbieter;83;83;;
02.07.2018;08.07.2018;NEG_HT;0;0,88;Netz an Anbieter;81;81;;
02.07.2018;08.07.2018;NEG_HT;0;0,96;Netz an Anbieter;82;82;;
02.07.2018;08.07.2018;NEG_NT;0;510;Netz an Anbieter;10;10;;
02.07.2018;08.07.2018;NEG_NT;0;689;Netz an Anbieter;22;22;;
02.07.2018;08.07.2018;NEG_NT;0;175;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_NT;0;8500;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_NT;0;9100;Netz an Anbieter;5;5;;
02.07.2018;08.07.2018;NEG_HT;0;47,5;Netz an Anbieter;20;10;;
02.07.2018;08.07.2018;NEG_HT;0;41,25;Netz an Anbieter;20;20;;
02.07.2018;08.07.2018;NEG_HT;0;35;Netz an Anbieter;20;20;;
02.07.2018;08.07.2018;NEG_HT;0;46,111;Netz an Anbieter;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;43,333;Netz an Anbieter;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;40,556;Netz an Anbieter;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;37,778;Netz an Anbieter;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;35;Netz an Anbieter;10;10;;
02.07.2018;08.07.2018;NEG_HT;0;47,5;Netz an Anbieter;20;20;;
02.07.2018;08.07.2018;NEG_HT;0;41,25;Netz an Anbieter;20;20;;
02.07.2018;08.07.2018;NEG_HT;0;35;Netz an Anbieter;20;20;;
02.07.2018;08.07.2018;NEG_NT;0;950;Netz an Anbieter;5;5;X;
02.07.2018;08.07.2018;NEG_NT;0;1005;Netz an Anbieter;5;5;X;
02.07.2018;08.07.2018;NEG_NT;0;1900;Netz an Anbieter;5;5;X;
02.07.2018;08.07.2018;NEG_NT;0;2200;Netz an Anbieter;5;5;X;
02.07.2018;08.07.2018;NEG_HT;0;17,05;Anbieter an Netz;5;5;X;
02.07.2018;08.07.2018;NEG_HT;0;16,25;Anbieter an Netz;5;5;X;
02.07.2018;08.07.2018;NEG_HT;0;1,5;Anbieter an Netz;5;5;X;
02.07.2018;08.07.2018;NEG_HT;0;1,4;Anbieter an Netz;5;5;X;
02.07.2018;08.07.2018;NEG_HT;0;1,3;Anbieter an Netz;5;5;X;
02.07.2018;08.07.2018;NEG_HT;0;40;Netz an Anbieter;7;7;X;
02.07.2018;08.07.2018;NEG_NT;0;8,2;Anbieter an Netz;5;5;X;
02.07.2018;08.07.2018;NEG_HT;0;16,5;Anbieter an Netz;5;5;X;
