DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
14.05.2018;20.05.2018;NEG_HT;0;5,75;Netz an Anbieter;40;40;;
14.05.2018;20.05.2018;NEG_HT;0;5,75;Netz an Anbieter;40;40;;
14.05.2018;20.05.2018;NEG_HT;0;5,75;Netz an Anbieter;40;40;;
14.05.2018;20.05.2018;NEG_HT;0;5,75;Netz an Anbieter;40;40;;
14.05.2018;20.05.2018;NEG_HT;0;5,75;Netz an Anbieter;5;5;;
14.05.2018;20.05.2018;NEG_HT;0;15,8;Netz an Anbieter;40;40;;
14.05.2018;20.05.2018;NEG_NT;0;15,65;Netz an Anbieter;5;5;;
14.05.2018;20.05.2018;NEG_NT;0;15,65;Netz an Anbieter;40;40;;
14.05.2018;20.05.2018;NEG_HT;0;469;Netz an Anbieter;15;15;;
14.05.2018;20.05.2018;NEG_HT;0;469;Netz an Anbieter;15;15;;
14.05.2018;20.05.2018;NEG_HT;0;469;Netz an Anbieter;5;5;;
14.05.2018;20.05.2018;NEG_HT;0;9,26;Anbieter an Netz;10;10;;
14.05.2018;20.05.2018;NEG_HT;0;10,63;Netz an Anbieter;10;10;;
14.05.2018;20.05.2018;NEG_HT;0;3,08;Netz an Anbieter;10;10;;
14.05.2018;20.05.2018;NEG_HT;0;8,64;Netz an Anbieter;10;10;;
14.05.2018;20.05.2018;NEG_HT;0;6,01;Netz an Anbieter;10;10;;
14.05.2018;20.05.2018;NEG_HT;0;0,51;Anbieter an Netz;10;10;;
14.05.2018;20.05.2018;NEG_HT;0;13,24;Netz an Anbieter;22;22;;
14.05.2018;20.05.2018;NEG_HT;0;2,52;Anbieter an Netz;10;10;;
14.05.2018;20.05.2018;NEG_HT;0;5,93;Anbieter an Netz;10;10;;
14.05.2018;20.05.2018;NEG_NT;0;5499;Netz an Anbieter;7;7;;
14.05.2018;20.05.2018;NEG_HT;0;519;Netz an Anbieter;5;5;;
14.05.2018;20.05.2018;NEG_HT;0;500;Netz an Anbieter;5;5;;
14.05.2018;20.05.2018;NEG_HT;0;481;Netz an Anbieter;11;11;;
