DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
29.01.2018;04.02.2018;NEG_HT;0;14,31;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;14,73;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;15,49;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;16,11;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;17,25;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;17,77;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;18,63;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;19,22;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;19,63;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;20,45;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;20,94;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;21,76;Netz an Anbieter;30;30;;
29.01.2018;04.02.2018;NEG_HT;0;59,87;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;45,55;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;78,41;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;82,33;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;103,87;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;113,63;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;5,15;Anbieter an Netz;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;9,45;Netz an Anbieter;40;40;;
29.01.2018;04.02.2018;NEG_HT;0;9,45;Netz an Anbieter;40;40;;
29.01.2018;04.02.2018;NEG_HT;0;9,45;Netz an Anbieter;40;40;;
29.01.2018;04.02.2018;NEG_HT;0;9,45;Netz an Anbieter;40;40;;
29.01.2018;04.02.2018;NEG_HT;0;9,45;Netz an Anbieter;40;40;;
29.01.2018;04.02.2018;NEG_HT;0;4,9;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;24,9;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;117;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;113;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;146;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;160;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;150;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;5,1;Anbieter an Netz;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;9,4;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;10,4;Netz an Anbieter;7;7;;
29.01.2018;04.02.2018;NEG_HT;0;11,4;Netz an Anbieter;7;7;;
29.01.2018;04.02.2018;NEG_HT;0;12,4;Netz an Anbieter;7;7;;
29.01.2018;04.02.2018;NEG_HT;0;13,4;Netz an Anbieter;7;7;;
29.01.2018;04.02.2018;NEG_HT;0;73,4;Netz an Anbieter;7;7;;
29.01.2018;04.02.2018;NEG_HT;0;93,4;Netz an Anbieter;7;7;;
29.01.2018;04.02.2018;NEG_HT;0;21,7;Netz an Anbieter;7;7;;
29.01.2018;04.02.2018;NEG_HT;0;44,7;Netz an Anbieter;7;7;;
29.01.2018;04.02.2018;NEG_HT;0;34,7;Netz an Anbieter;7;7;;
29.01.2018;04.02.2018;NEG_HT;0;8,4;Netz an Anbieter;8;8;;
29.01.2018;04.02.2018;NEG_HT;0;58,4;Netz an Anbieter;8;8;;
29.01.2018;04.02.2018;NEG_HT;0;12;Netz an Anbieter;15;15;;
29.01.2018;04.02.2018;NEG_HT;0;12,25;Netz an Anbieter;15;15;;
29.01.2018;04.02.2018;NEG_HT;0;11,9;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;180;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;245;Netz an Anbieter;6;5;;
29.01.2018;04.02.2018;NEG_HT;0;235;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;235;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;9;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;88;Netz an Anbieter;40;40;;
29.01.2018;04.02.2018;NEG_HT;0;243,15;Netz an Anbieter;10;8;;
29.01.2018;04.02.2018;NEG_HT;0;224,6;Netz an Anbieter;60;60;;
29.01.2018;04.02.2018;NEG_HT;0;206,05;Netz an Anbieter;10;10;;
29.01.2018;04.02.2018;NEG_HT;0;187,5;Netz an Anbieter;60;60;;
29.01.2018;04.02.2018;NEG_HT;0;168,95;Netz an Anbieter;60;60;;
29.01.2018;04.02.2018;NEG_HT;0;150,4;Netz an Anbieter;60;60;;
29.01.2018;04.02.2018;NEG_HT;0;131,85;Netz an Anbieter;60;60;;
29.01.2018;04.02.2018;NEG_HT;0;113,3;Netz an Anbieter;60;60;;
29.01.2018;04.02.2018;NEG_HT;0;94,75;Netz an Anbieter;60;60;;
29.01.2018;04.02.2018;NEG_HT;0;76,2;Netz an Anbieter;60;60;;
29.01.2018;04.02.2018;NEG_HT;0;57,65;Netz an Anbieter;60;60;;
29.01.2018;04.02.2018;NEG_HT;0;39,1;Netz an Anbieter;60;60;;
29.01.2018;04.02.2018;NEG_HT;0;20,55;Netz an Anbieter;60;60;;
29.01.2018;04.02.2018;NEG_HT;0;2;Netz an Anbieter;60;60;;
29.01.2018;04.02.2018;NEG_HT;0;39;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;130;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;179;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;255;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;14,8;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;14,1;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;13,4;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;12,7;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;12;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;7,2;Netz an Anbieter;25;25;;
29.01.2018;04.02.2018;NEG_HT;0;6,8;Netz an Anbieter;25;25;;
29.01.2018;04.02.2018;NEG_HT;0;79;Netz an Anbieter;80;80;;
29.01.2018;04.02.2018;NEG_HT;0;17,6;Netz an Anbieter;30;30;;
29.01.2018;04.02.2018;NEG_HT;0;16,9;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;16,2;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;15,5;Netz an Anbieter;20;20;;
29.01.2018;04.02.2018;NEG_HT;0;105;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;200;Netz an Anbieter;5;5;;
29.01.2018;04.02.2018;NEG_HT;0;112;Netz an Anbieter;8;8;;
29.01.2018;04.02.2018;NEG_HT;0;888;Netz an Anbieter;6;6;X;
29.01.2018;04.02.2018;NEG_HT;0;0,1;Anbieter an Netz;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;0,1;Anbieter an Netz;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;12;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;13;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;110;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;450;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;450;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;450;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;940;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;6,7;Anbieter an Netz;10;10;X;
29.01.2018;04.02.2018;NEG_HT;0;6,69;Anbieter an Netz;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;110;Netz an Anbieter;9;9;X;
29.01.2018;04.02.2018;NEG_HT;0;111;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;228;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;735;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;5600;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;703;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;348;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;2,8;Anbieter an Netz;10;10;X;
29.01.2018;04.02.2018;NEG_HT;0;2,98;Anbieter an Netz;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;13,3;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;78,8;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;155;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;16,8;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;21;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;47;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;93;Netz an Anbieter;10;10;X;
29.01.2018;04.02.2018;NEG_HT;0;468;Netz an Anbieter;10;10;X;
29.01.2018;04.02.2018;NEG_HT;0;776;Netz an Anbieter;10;10;X;
29.01.2018;04.02.2018;NEG_HT;0;17;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;20;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;1415;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;11,15;Netz an Anbieter;10;10;X;
29.01.2018;04.02.2018;NEG_HT;0;11,16;Netz an Anbieter;10;10;X;
29.01.2018;04.02.2018;NEG_HT;0;11,17;Netz an Anbieter;10;10;X;
29.01.2018;04.02.2018;NEG_HT;0;1081;Netz an Anbieter;10;10;X;
29.01.2018;04.02.2018;NEG_HT;0;1082;Netz an Anbieter;10;10;X;
29.01.2018;04.02.2018;NEG_HT;0;1083;Netz an Anbieter;10;10;X;
29.01.2018;04.02.2018;NEG_HT;0;1419;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;1420;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;290;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;116;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;3,8;Anbieter an Netz;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;2,81;Anbieter an Netz;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;2,74;Anbieter an Netz;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;2,7;Anbieter an Netz;10;10;X;
29.01.2018;04.02.2018;NEG_HT;0;10;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;11;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;12,55;Netz an Anbieter;5;5;X;
29.01.2018;04.02.2018;NEG_HT;0;23,84;Netz an Anbieter;5;5;X;
