DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
15.01.2018;21.01.2018;NEG_HT;0;186;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;475;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;816;Netz an Anbieter;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;68;Netz an Anbieter;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;132;Netz an Anbieter;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;406;Netz an Anbieter;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;8,6;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;620;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_NT;0;979;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;0,4;Netz an Anbieter;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;14,36;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;34,31;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;48,55;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;62,8;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;77,04;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;84;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;99;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;114;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;276,76;Netz an Anbieter;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;129;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;144;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;262,51;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;92;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;144;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;744;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;129,8;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;1081;Netz an Anbieter;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;1082;Netz an Anbieter;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;1083;Netz an Anbieter;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;1084;Netz an Anbieter;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;1085;Netz an Anbieter;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;1418;Netz an Anbieter;10;10;X;
15.01.2018;21.01.2018;NEG_HT;0;1419;Netz an Anbieter;6;6;X;
15.01.2018;21.01.2018;NEG_HT;0;1420;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;1421;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;1422;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;1423;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;1424;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;1425;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_HT;0;977;Netz an Anbieter;7;7;X;
15.01.2018;21.01.2018;NEG_HT;0,1;250;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0,12;552,92;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,14;565,97;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,19;581,41;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,23;586,45;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,28;600,29;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,32;131,48;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,37;163,33;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_HT;0,41;150,09;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_HT;0,42;312,5;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0,46;120,06;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,5;619,33;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_HT;0,5;892,55;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,56;176,31;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_HT;0,6;1776,87;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0,62;834,86;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,69;807,7;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,7;990;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;0,7;990;Netz an Anbieter;150;150;;
15.01.2018;21.01.2018;NEG_HT;0,7;990;Netz an Anbieter;40;40;;
15.01.2018;21.01.2018;NEG_HT;0,7;990;Netz an Anbieter;58;58;;
15.01.2018;21.01.2018;NEG_HT;0,73;373,5;Netz an Anbieter;5;5;;
