DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
07.05.2018;13.05.2018;NEG_HT;0;589;Netz an Anbieter;5;5;;
07.05.2018;13.05.2018;NEG_HT;0;500;Netz an Anbieter;5;5;;
07.05.2018;13.05.2018;NEG_NT;0;33;Netz an Anbieter;5;5;;
07.05.2018;13.05.2018;NEG_NT;0;33;Netz an Anbieter;40;40;;
07.05.2018;13.05.2018;NEG_NT;0;33;Netz an Anbieter;40;40;;
07.05.2018;13.05.2018;NEG_NT;0;52;Netz an Anbieter;40;40;;
07.05.2018;13.05.2018;NEG_NT;0;52;Netz an Anbieter;40;40;;
07.05.2018;13.05.2018;NEG_HT;0;31,5;Netz an Anbieter;40;40;;
07.05.2018;13.05.2018;NEG_HT;0;31,5;Netz an Anbieter;40;40;;
07.05.2018;13.05.2018;NEG_HT;0;31,5;Netz an Anbieter;40;40;;
07.05.2018;13.05.2018;NEG_HT;0;31,5;Netz an Anbieter;40;40;;
07.05.2018;13.05.2018;NEG_HT;0;31,5;Netz an Anbieter;5;5;;
07.05.2018;13.05.2018;NEG_HT;0;31,5;Netz an Anbieter;40;40;;
07.05.2018;13.05.2018;NEG_HT;0;14,43;Netz an Anbieter;10;10;;
07.05.2018;13.05.2018;NEG_HT;0;10,16;Netz an Anbieter;10;10;;
07.05.2018;13.05.2018;NEG_HT;0;4,86;Netz an Anbieter;10;10;;
07.05.2018;13.05.2018;NEG_HT;0;7,13;Netz an Anbieter;10;10;;
07.05.2018;13.05.2018;NEG_HT;0;18,39;Netz an Anbieter;20;20;;
07.05.2018;13.05.2018;NEG_HT;0;2,03;Netz an Anbieter;10;10;;
07.05.2018;13.05.2018;NEG_HT;0;20,44;Netz an Anbieter;20;20;;
07.05.2018;13.05.2018;NEG_HT;0;25,38;Netz an Anbieter;30;30;;
07.05.2018;13.05.2018;NEG_HT;0;45,04;Netz an Anbieter;6;6;;
07.05.2018;13.05.2018;NEG_HT;0;45,59;Netz an Anbieter;10;10;;
07.05.2018;13.05.2018;NEG_HT;0;47,24;Netz an Anbieter;10;10;;
07.05.2018;13.05.2018;NEG_HT;0;47,71;Netz an Anbieter;10;10;;
07.05.2018;13.05.2018;NEG_HT;0;49,12;Netz an Anbieter;10;10;;
07.05.2018;13.05.2018;NEG_HT;0;50,21;Netz an Anbieter;10;10;;
07.05.2018;13.05.2018;NEG_NT;0;5499;Netz an Anbieter;7;7;;
07.05.2018;13.05.2018;NEG_HT;0;498;Netz an Anbieter;15;15;;
07.05.2018;13.05.2018;NEG_HT;0;498;Netz an Anbieter;14;14;;
07.05.2018;13.05.2018;NEG_HT;0;498;Netz an Anbieter;5;5;;
