Date from;Date to;Productname;Capacity price [EUR/MW];Energy price [EUR/MWh];Payment direction;Offered power [MW];Acceptance of bid [MW];Bids from AT
01.01.2018;07.01.2018;NEG_HT;0;1306;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1307;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1308;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1309;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;1;260;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;2;1200;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;2;60000;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;4.3;201;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_HT;5.1;266;Grid to provider;8;8;;
01.01.2018;07.01.2018;NEG_HT;7.8;389;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;9.29;1549;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;9.69;1549;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;10;1.04;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;10.09;1549;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;10.5;563;Grid to provider;8;8;;
01.01.2018;07.01.2018;NEG_HT;10.52;5994;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;10.96;5994;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;11.4;5994;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;11.83;5994;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;12;9.95;Provider to grid;40;40;;
01.01.2018;07.01.2018;NEG_HT;12.27;5994;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;12.76;5997;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;13.25;5997;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;13.74;5997;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;14;14999;Grid to provider;8;8;;
01.01.2018;07.01.2018;NEG_HT;14;14999;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;14;14999;Grid to provider;7;7;;
01.01.2018;07.01.2018;NEG_HT;14;14999;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;14;14999;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;14;14999;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;14.23;5997;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;14.72;5997;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;15;5;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;15;5;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;15.21;5997;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;15.7;5997;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;16.19;5997;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;16.32;1310;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;16.68;5997;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;16.8;300;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;17;5.01;Provider to grid;5;5;;
01.01.2018;07.01.2018;NEG_HT;17.55;5997;Grid to provider;11;11;;
01.01.2018;07.01.2018;NEG_HT;18;4.4;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;18.02;5997;Grid to provider;11;11;;
01.01.2018;07.01.2018;NEG_HT;18.49;5997;Grid to provider;11;11;;
01.01.2018;07.01.2018;NEG_HT;18.96;5997;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;19;2.85;Grid to provider;40;40;;
01.01.2018;07.01.2018;NEG_HT;19;72.27;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;23;4.2;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;25;1648;Grid to provider;76;76;;
01.01.2018;07.01.2018;NEG_HT;25;1648;Grid to provider;21;21;;
01.01.2018;07.01.2018;NEG_HT;25;1648;Grid to provider;31;31;;
01.01.2018;07.01.2018;NEG_HT;25;15;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;25;15;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;26;2.85;Grid to provider;40;40;;
01.01.2018;07.01.2018;NEG_HT;26;772;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_HT;26;342;Grid to provider;11;11;;
01.01.2018;07.01.2018;NEG_HT;26.2;97500;Grid to provider;35;35;;
01.01.2018;07.01.2018;NEG_HT;27;144;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;28;154;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_HT;28.72;768.75;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_HT;29;5740;Grid to provider;9;9;;
01.01.2018;07.01.2018;NEG_HT;29;164;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_HT;30;30;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;30;30;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;34;2.85;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;35;17.5;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_HT;36;0.44;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;36.98;1489;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;36.98;1489;Grid to provider;9;9;;
01.01.2018;07.01.2018;NEG_HT;37;174;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_HT;37.92;422;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;38;184;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_HT;39;23.5;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;39;194;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_HT;40;1648;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_HT;40;1648;Grid to provider;38;38;;
01.01.2018;07.01.2018;NEG_HT;40;1648;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;40;1648;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;40;390;Grid to provider;11;11;;
01.01.2018;07.01.2018;NEG_HT;40;129;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_HT;40.49;200;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;41;2.85;Grid to provider;40;40;;
01.01.2018;07.01.2018;NEG_HT;41;49;Grid to provider;20;20;;
01.01.2018;07.01.2018;NEG_HT;41.35;1779.91;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;43;412;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_HT;43;44;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;44.99;480;Grid to provider;22;22;;
01.01.2018;07.01.2018;NEG_HT;47;75;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;48;2.85;Grid to provider;40;40;;
01.01.2018;07.01.2018;NEG_HT;48;1620.22;Grid to provider;42;42;;
01.01.2018;07.01.2018;NEG_HT;48.58;373.5;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;49;6.68;Grid to provider;20;20;;
01.01.2018;07.01.2018;NEG_HT;49;412;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;49;1544;Grid to provider;8;8;;
01.01.2018;07.01.2018;NEG_HT;49;424;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;49;14999;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;49.91;4999;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;49.91;4999;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;51;56;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;51;1427.85;Grid to provider;42;42;;
01.01.2018;07.01.2018;NEG_HT;52.8;1311;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;53.9;592.5;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;53.9;679;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;53.9;592.5;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;53.9;679;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;54;1648;Grid to provider;38;38;;
01.01.2018;07.01.2018;NEG_HT;54;1235.48;Grid to provider;42;42;;
01.01.2018;07.01.2018;NEG_HT;54;1648;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_HT;54;1648;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;55;340;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;55.55;699;Grid to provider;17;17;;
01.01.2018;07.01.2018;NEG_HT;56.68;420;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;57;1043.11;Grid to provider;42;42;;
01.01.2018;07.01.2018;NEG_HT;57.5;5;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;57.5;5;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;58;5999;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;58;412;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;59;170;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;60;850.74;Grid to provider;42;42;;
01.01.2018;07.01.2018;POS_NT;60;1115;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;60.25;1779.91;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;62;8.67;Grid to provider;20;20;;
01.01.2018;07.01.2018;NEG_HT;62;658.37;Grid to provider;42;42;;
01.01.2018;07.01.2018;NEG_HT;62.5;15;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;62.5;15;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;63;410;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;63.9;129;Grid to provider;25;25;;
01.01.2018;07.01.2018;NEG_HT;64;204;Grid to provider;8;8;;
01.01.2018;07.01.2018;NEG_HT;64;214;Grid to provider;9;9;;
01.01.2018;07.01.2018;NEG_HT;64;224;Grid to provider;9;9;;
01.01.2018;07.01.2018;NEG_HT;64;234;Grid to provider;9;9;;
01.01.2018;07.01.2018;NEG_HT;64;244;Grid to provider;9;9;;
01.01.2018;07.01.2018;NEG_HT;64;418.95;Grid to provider;42;42;;
01.01.2018;07.01.2018;NEG_HT;64.78;875;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;64.99;1399;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_NT;65;151.1;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;65;30;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_HT;65;30;Grid to provider;15;5;;
01.01.2018;07.01.2018;NEG_NT;67;185;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;69.6;210;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;70.8;249;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_NT;72;67;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;76.8;1100;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;80;150;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;82;1000;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;84;50000;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;90;2345;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;93.97;250;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;103.75;78145;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;112.76;373.5;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;119.04;346;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_NT;120;5100;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;125;725;Grid to provider;9;9;;
01.01.2018;07.01.2018;NEG_NT;125;728;Grid to provider;9;9;;
01.01.2018;07.01.2018;NEG_NT;131.56;875;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_NT;132;67.1;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_NT;133.2;1120;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;134.4;380;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;136.8;899;Grid to provider;6;5;X;
01.01.2018;07.01.2018;NEG_HT;137.76;398;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;139.2;4075;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;142.75;768.75;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;144;380;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;144;12;Provider to grid;5;5;X;
01.01.2018;07.01.2018;NEG_NT;150.35;1500;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;153.6;380;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;153.6;1118;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;167.04;15.1;Provider to grid;5;5;X;
01.01.2018;07.01.2018;NEG_HT;168;3;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;168;70.1;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;168.51;97500;Grid to provider;35;35;;
01.01.2018;07.01.2018;NEG_NT;169.15;2500;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;170;22;Grid to provider;6;6;;
01.01.2018;07.01.2018;POS_HT;172.8;1115;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;176.14;1789.18;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_NT;177.6;158;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;178;76.7;Grid to provider;20;20;;
01.01.2018;07.01.2018;NEG_NT;180;390;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_NT;180;49;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;181;99;Grid to provider;20;20;;
01.01.2018;07.01.2018;POS_HT;182.4;150;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;182.4;19.98;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;182.4;3;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;183.14;18750;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;187.94;5000;Grid to provider;8;8;;
01.01.2018;07.01.2018;NEG_NT;190;119;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;192;62.25;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;194;1548;Grid to provider;73;73;;
01.01.2018;07.01.2018;NEG_NT;194;1548;Grid to provider;21;21;;
01.01.2018;07.01.2018;NEG_NT;194;1548;Grid to provider;28;28;;
01.01.2018;07.01.2018;POS_HT;195.84;658;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;198;5800;Grid to provider;9;9;;
01.01.2018;07.01.2018;NEG_NT;198.75;569.75;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;199;1478;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_NT;199;235;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;199;235;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;199.68;63;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;200;120.21;Grid to provider;20;20;;
01.01.2018;07.01.2018;NEG_NT;200;139;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;203.52;577;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;204;125;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;205;91.75;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;206.04;20000;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;206.4;2345;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;207;1478;Grid to provider;11;11;;
01.01.2018;07.01.2018;POS_HT;207.36;59.07;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;208;91.75;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;208;14999;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;210;197;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;211;91.75;Grid to provider;40;40;;
01.01.2018;07.01.2018;POS_HT;211.2;544;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;214.56;58.8;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;215;91.75;Grid to provider;40;40;;
01.01.2018;07.01.2018;NEG_NT;215;1478;Grid to provider;10;10;;
01.01.2018;07.01.2018;POS_HT;215;6732;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;215;6681;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;216.25;103.92;Grid to provider;20;20;;
01.01.2018;07.01.2018;POS_HT;217;66.66;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;218;91.75;Grid to provider;40;40;;
01.01.2018;07.01.2018;POS_HT;218;79.42;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;218.4;490;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_NT;218.86;18750;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;219;444;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;220;1548;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_NT;220;1548;Grid to provider;36;36;;
01.01.2018;07.01.2018;NEG_NT;220;1548;Grid to provider;10;10;;
01.01.2018;07.01.2018;POS_HT;220;68.96;Grid to provider;30;30;;
01.01.2018;07.01.2018;NEG_NT;220;1548;Grid to provider;15;15;;
01.01.2018;07.01.2018;NEG_NT;220;390;Grid to provider;11;11;;
01.01.2018;07.01.2018;NEG_NT;220;149;Grid to provider;6;6;;
01.01.2018;07.01.2018;POS_HT;220.8;70.2;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;221;91.75;Grid to provider;40;40;;
01.01.2018;07.01.2018;NEG_NT;222.22;480;Grid to provider;22;22;;
01.01.2018;07.01.2018;POS_HT;222.24;1456;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;224;91.75;Grid to provider;40;40;;
01.01.2018;07.01.2018;NEG_NT;224;5997;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_NT;225;239;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;225;68.97;Grid to provider;10;10;;
01.01.2018;07.01.2018;POS_HT;225;73.8;Grid to provider;20;20;;
01.01.2018;07.01.2018;POS_HT;226.08;69;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;228;40006;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;228;91.75;Grid to provider;20;20;;
01.01.2018;07.01.2018;POS_HT;228;40000;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;228.93;25000;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;229.92;3044;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;230;71.52;Grid to provider;10;10;;
01.01.2018;07.01.2018;POS_HT;230;9957;Grid to provider;30;30;;
01.01.2018;07.01.2018;POS_HT;230.4;70.3;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;231;141;Grid to provider;20;20;;
01.01.2018;07.01.2018;NEG_NT;232.5;82.79;Grid to provider;20;20;;
01.01.2018;07.01.2018;POS_HT;233;40000;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;233;5997;Grid to provider;10;10;;
01.01.2018;07.01.2018;POS_HT;233.76;67;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;234;141;Grid to provider;40;40;;
01.01.2018;07.01.2018;POS_HT;234.62;74.26;Grid to provider;10;10;;
01.01.2018;07.01.2018;POS_HT;235;9958;Grid to provider;14;14;;
01.01.2018;07.01.2018;POS_HT;235;73.8;Grid to provider;20;20;;
01.01.2018;07.01.2018;POS_HT;237;141;Grid to provider;40;40;;
01.01.2018;07.01.2018;POS_HT;237;73.8;Grid to provider;20;20;;
01.01.2018;07.01.2018;POS_HT;237.6;4312;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;238;40000;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;239;6857;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;239.04;72;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;239.09;76.48;Grid to provider;10;10;;
01.01.2018;07.01.2018;POS_HT;240;79;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;240;9959;Grid to provider;14;14;;
01.01.2018;07.01.2018;POS_HT;240;68.98;Grid to provider;13;13;;
01.01.2018;07.01.2018;POS_HT;240;1000;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_NT;240;1040;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;240.16;79.49;Grid to provider;10;10;;
01.01.2018;07.01.2018;POS_HT;240.33;73.8;Grid to provider;20;20;;
01.01.2018;07.01.2018;POS_HT;241;141;Grid to provider;40;40;;
01.01.2018;07.01.2018;POS_HT;241.44;663;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;242;5997;Grid to provider;15;15;;
01.01.2018;07.01.2018;POS_HT;243;39900;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;243.67;73.8;Grid to provider;20;20;;
01.01.2018;07.01.2018;POS_HT;244;141;Grid to provider;40;40;;
01.01.2018;07.01.2018;NEG_NT;244;1004;Grid to provider;8;8;;
01.01.2018;07.01.2018;POS_HT;244;68.66;Grid to provider;18;18;;
01.01.2018;07.01.2018;NEG_NT;244;434;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;245;285;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;245;39999;Grid to provider;7;7;;
01.01.2018;07.01.2018;NEG_NT;245;1548;Grid to provider;36;36;;
01.01.2018;07.01.2018;NEG_NT;245;1548;Grid to provider;10;10;;
01.01.2018;07.01.2018;POS_HT;245;68.99;Grid to provider;13;13;;
01.01.2018;07.01.2018;POS_HT;245;18699;Grid to provider;6;6;;
01.01.2018;07.01.2018;NEG_NT;245;1548;Grid to provider;15;15;;
01.01.2018;07.01.2018;POS_HT;245.28;61.6;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;245.99;620;Grid to provider;18;18;;
01.01.2018;07.01.2018;POS_HT;246;70.69;Grid to provider;18;18;;
01.01.2018;07.01.2018;POS_HT;246.19;81.8;Grid to provider;10;10;;
01.01.2018;07.01.2018;POS_NT;246.21;20000;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;246.9;779;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;246.9;949.5;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;246.9;949.5;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;246.9;779;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;247;141;Grid to provider;20;20;;
01.01.2018;07.01.2018;POS_HT;247;93;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;247;73.8;Grid to provider;20;20;;
01.01.2018;07.01.2018;POS_HT;248;71.46;Grid to provider;18;18;;
01.01.2018;07.01.2018;POS_HT;248;39900;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;248.75;72.82;Grid to provider;20;20;;
01.01.2018;07.01.2018;NEG_NT;248.75;599.75;Grid to provider;6;6;;
01.01.2018;07.01.2018;POS_HT;249.12;59.3;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;249.44;39999;Grid to provider;7;7;;
01.01.2018;07.01.2018;POS_HT;249.99;11449;Grid to provider;13;13;;
01.01.2018;07.01.2018;POS_HT;250;85;Grid to provider;40;40;;
01.01.2018;07.01.2018;POS_HT;250;109;Grid to provider;40;40;;
01.01.2018;07.01.2018;POS_HT;250.24;83.03;Grid to provider;10;10;;
01.01.2018;07.01.2018;NEG_NT;251;5997;Grid to provider;14;14;;
01.01.2018;07.01.2018;POS_HT;251.67;18699;Grid to provider;6;6;;
01.01.2018;07.01.2018;POS_HT;252;1658.34;Grid to provider;27;27;;
01.01.2018;07.01.2018;POS_HT;252.48;4200;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;253.89;39999;Grid to provider;7;7;;
01.01.2018;07.01.2018;POS_HT;254;99;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;254.29;87.13;Grid to provider;20;20;;
01.01.2018;07.01.2018;POS_HT;255;1591.25;Grid to provider;24;24;;
01.01.2018;07.01.2018;POS_HT;255.84;5283;Grid to provider;6;6;;
01.01.2018;07.01.2018;POS_HT;256.32;212;Grid to provider;5;5;X;
01.01.2018;07.01.2018;POS_HT;257;3948;Grid to provider;5;5;;
01.01.2018;07.01.2018;POS_HT;257;8900;Grid to provider;55;55;;
