Date from;Date to;Productname;Capacity price [EUR/MW];Energy price [EUR/MWh];Payment direction;Offered power [MW];Acceptance of bid [MW];Bids from AT
01.01.2018;07.01.2018;NEG_HT;0;6900;Grid to provider;9;9;;
01.01.2018;07.01.2018;NEG_HT;0;59;Grid to provider;20;20;;
01.01.2018;07.01.2018;NEG_HT;0;184.9;Grid to provider;20;20;;
01.01.2018;07.01.2018;NEG_HT;0;239;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_HT;0;77423;Grid to provider;5;5;;
01.01.2018;07.01.2018;NEG_NT;0;5502;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_NT;0;5503;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;422;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1102;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;5501;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;5502;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;198;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;300;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;346;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;747;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;380;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1500;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1500;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;5600;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;13.6;Grid to provider;6;6;X;
01.01.2018;07.01.2018;NEG_HT;0;68;Grid to provider;6;6;X;
01.01.2018;07.01.2018;NEG_HT;0;146;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;411;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;386;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;997;Grid to provider;7;7;X;
01.01.2018;07.01.2018;NEG_HT;0;197;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1115;Grid to provider;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1305;Grid to provider;5;5;X;
