DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
08.01.2018;14.01.2018;NEG_HT;0;1387;Netz an Anbieter;5;5;;
08.01.2018;14.01.2018;NEG_HT;0;5800;Netz an Anbieter;9;9;;
08.01.2018;14.01.2018;NEG_HT;0;5800;Netz an Anbieter;9;9;;
08.01.2018;14.01.2018;NEG_HT;0;1387;Netz an Anbieter;9;9;;
08.01.2018;14.01.2018;NEG_HT;0;13,1;Anbieter an Netz;5;5;;
08.01.2018;14.01.2018;NEG_HT;0;1;Netz an Anbieter;20;20;;
08.01.2018;14.01.2018;NEG_HT;0;188;Netz an Anbieter;40;40;;
08.01.2018;14.01.2018;NEG_HT;0;14,7;Netz an Anbieter;20;20;;
08.01.2018;14.01.2018;NEG_HT;0;14,8;Netz an Anbieter;20;20;;
08.01.2018;14.01.2018;NEG_HT;0;82,14;Netz an Anbieter;15;15;;
08.01.2018;14.01.2018;NEG_HT;0;82,2;Netz an Anbieter;11;11;;
08.01.2018;14.01.2018;NEG_HT;0;179;Netz an Anbieter;5;5;;
08.01.2018;14.01.2018;NEG_HT;0;9987;Netz an Anbieter;5;5;;
08.01.2018;14.01.2018;NEG_HT;0;83250;Netz an Anbieter;5;5;;
08.01.2018;14.01.2018;NEG_HT;0;198;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;349;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;898;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;130;Netz an Anbieter;9;9;X;
08.01.2018;14.01.2018;NEG_HT;0;297;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;378;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;5502;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;5501;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;19,98;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;13,6;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;69;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;145;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;411;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;386;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;180;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;POS_NT;0;1115;Netz an Anbieter;10;10;X;
08.01.2018;14.01.2018;POS_NT;0;65,48;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;POS_NT;0;65,49;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;1115;Netz an Anbieter;10;10;X;
08.01.2018;14.01.2018;NEG_HT;0;1111;Netz an Anbieter;10;10;X;
08.01.2018;14.01.2018;NEG_HT;0;1112;Netz an Anbieter;10;10;X;
08.01.2018;14.01.2018;NEG_HT;0;1113;Netz an Anbieter;10;10;X;
08.01.2018;14.01.2018;NEG_HT;0;1114;Netz an Anbieter;10;10;X;
08.01.2018;14.01.2018;NEG_HT;0;1462;Netz an Anbieter;10;10;X;
08.01.2018;14.01.2018;NEG_HT;0;1463;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;1464;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;8,4;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;9,8;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;11,2;Netz an Anbieter;10;10;X;
08.01.2018;14.01.2018;NEG_HT;0;38,48;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;65,76;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;93,04;Netz an Anbieter;5;5;X;
08.01.2018;14.01.2018;NEG_HT;0;120,32;Netz an Anbieter;5;5;X;
