DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
09.04.2018;15.04.2018;NEG_HT;0;15,11;Anbieter an Netz;30;30;;
09.04.2018;15.04.2018;NEG_HT;0;14,44;Anbieter an Netz;30;30;;
09.04.2018;15.04.2018;NEG_HT;0;13,7;Anbieter an Netz;12;12;;
09.04.2018;15.04.2018;NEG_HT;0;13,18;Anbieter an Netz;10;10;;
09.04.2018;15.04.2018;NEG_HT;0;12,68;Anbieter an Netz;10;10;;
09.04.2018;15.04.2018;NEG_HT;0;12,38;Anbieter an Netz;10;10;;
09.04.2018;15.04.2018;NEG_HT;0;11,42;Anbieter an Netz;10;10;;
09.04.2018;15.04.2018;NEG_HT;0;11,12;Anbieter an Netz;10;10;;
09.04.2018;15.04.2018;NEG_HT;0;10,7;Anbieter an Netz;10;10;;
09.04.2018;15.04.2018;NEG_HT;0;10,17;Anbieter an Netz;10;10;;
09.04.2018;15.04.2018;NEG_NT;0;4,25;Anbieter an Netz;30;30;;
09.04.2018;15.04.2018;NEG_NT;0;3,91;Anbieter an Netz;12;12;;
09.04.2018;15.04.2018;NEG_NT;0;2,41;Netz an Anbieter;10;10;;
09.04.2018;15.04.2018;NEG_NT;0;1,39;Anbieter an Netz;10;10;;
09.04.2018;15.04.2018;NEG_NT;0;1,2;Netz an Anbieter;10;10;;
09.04.2018;15.04.2018;NEG_HT;0;14,05;Anbieter an Netz;5;5;;
09.04.2018;15.04.2018;NEG_HT;0;1,5;Anbieter an Netz;40;40;;
09.04.2018;15.04.2018;NEG_HT;0;1,5;Anbieter an Netz;40;40;;
09.04.2018;15.04.2018;NEG_HT;0;1,5;Anbieter an Netz;40;40;;
09.04.2018;15.04.2018;NEG_HT;0;1,5;Anbieter an Netz;40;40;;
09.04.2018;15.04.2018;NEG_HT;0;1,5;Anbieter an Netz;40;40;;
09.04.2018;15.04.2018;NEG_NT;0;4,21;Anbieter an Netz;5;5;;
09.04.2018;15.04.2018;NEG_NT;0;6;Netz an Anbieter;40;40;;
09.04.2018;15.04.2018;NEG_NT;0;6;Netz an Anbieter;40;40;;
09.04.2018;15.04.2018;NEG_NT;0;6;Netz an Anbieter;40;40;;
09.04.2018;15.04.2018;NEG_NT;0;6;Netz an Anbieter;40;40;;
09.04.2018;15.04.2018;NEG_NT;0;6;Netz an Anbieter;40;40;;
09.04.2018;15.04.2018;NEG_NT;0;6;Netz an Anbieter;40;40;;
