DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
12.03.2018;18.03.2018;NEG_NT;0;137;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;5,8;Anbieter an Netz;40;40;;
12.03.2018;18.03.2018;NEG_HT;0;5,8;Anbieter an Netz;40;40;;
12.03.2018;18.03.2018;NEG_HT;0;5,8;Anbieter an Netz;40;40;;
12.03.2018;18.03.2018;NEG_HT;0;5,8;Anbieter an Netz;40;40;;
12.03.2018;18.03.2018;NEG_HT;0;5,8;Anbieter an Netz;40;40;;
12.03.2018;18.03.2018;NEG_HT;0;0,05;Anbieter an Netz;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;2,5;Anbieter an Netz;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;44,5;Netz an Anbieter;40;40;;
12.03.2018;18.03.2018;NEG_NT;0;44,5;Netz an Anbieter;40;40;;
12.03.2018;18.03.2018;NEG_NT;0;44,5;Netz an Anbieter;40;40;;
12.03.2018;18.03.2018;NEG_NT;0;44,5;Netz an Anbieter;40;40;;
12.03.2018;18.03.2018;NEG_NT;0;44,5;Netz an Anbieter;40;40;;
12.03.2018;18.03.2018;NEG_NT;0;44,5;Netz an Anbieter;40;40;;
12.03.2018;18.03.2018;NEG_HT;0;279;Netz an Anbieter;15;15;;
12.03.2018;18.03.2018;NEG_HT;0;309;Netz an Anbieter;19;19;;
12.03.2018;18.03.2018;NEG_HT;0;599;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;279;Netz an Anbieter;12;12;;
12.03.2018;18.03.2018;NEG_NT;0;309;Netz an Anbieter;18;18;;
12.03.2018;18.03.2018;NEG_NT;0;599;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;9,97;Anbieter an Netz;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;9,74;Anbieter an Netz;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;9,28;Anbieter an Netz;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;9,04;Anbieter an Netz;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;8,57;Anbieter an Netz;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;8,23;Anbieter an Netz;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;8,03;Anbieter an Netz;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;7,53;Anbieter an Netz;20;20;;
12.03.2018;18.03.2018;NEG_HT;0;7,32;Anbieter an Netz;20;20;;
12.03.2018;18.03.2018;NEG_HT;0;7,14;Anbieter an Netz;20;20;;
12.03.2018;18.03.2018;NEG_HT;0;6,59;Anbieter an Netz;20;20;;
12.03.2018;18.03.2018;NEG_HT;0;6,43;Anbieter an Netz;20;20;;
12.03.2018;18.03.2018;NEG_HT;0;5,96;Anbieter an Netz;36;36;;
12.03.2018;18.03.2018;NEG_NT;0;1,43;Anbieter an Netz;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;1,32;Anbieter an Netz;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;0,91;Anbieter an Netz;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;0,59;Anbieter an Netz;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;0,2;Anbieter an Netz;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;0,22;Netz an Anbieter;20;20;;
12.03.2018;18.03.2018;NEG_NT;0;0,39;Netz an Anbieter;20;20;;
12.03.2018;18.03.2018;NEG_NT;0;0,67;Netz an Anbieter;20;20;;
12.03.2018;18.03.2018;NEG_NT;0;0,91;Netz an Anbieter;20;20;;
12.03.2018;18.03.2018;NEG_NT;0;1,26;Netz an Anbieter;30;30;;
12.03.2018;18.03.2018;NEG_NT;0;1,83;Netz an Anbieter;30;30;;
12.03.2018;18.03.2018;NEG_NT;0;1,99;Netz an Anbieter;30;30;;
12.03.2018;18.03.2018;NEG_NT;0;15,37;Netz an Anbieter;12;12;;
12.03.2018;18.03.2018;NEG_NT;0;36,67;Netz an Anbieter;12;12;;
12.03.2018;18.03.2018;NEG_NT;0;4,45;Netz an Anbieter;12;12;;
12.03.2018;18.03.2018;NEG_NT;0;49,96;Netz an Anbieter;20;20;;
12.03.2018;18.03.2018;NEG_HT;0;470;Netz an Anbieter;6;6;;
12.03.2018;18.03.2018;NEG_NT;0;500;Netz an Anbieter;6;6;;
12.03.2018;18.03.2018;NEG_HT;0;348;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;389;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;300;Netz an Anbieter;21;21;;
12.03.2018;18.03.2018;NEG_NT;0;300;Netz an Anbieter;21;21;;
12.03.2018;18.03.2018;NEG_NT;0;1788,5;Netz an Anbieter;7;7;;
12.03.2018;18.03.2018;NEG_NT;0;1788,5;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;1788,5;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;3230;Netz an Anbieter;8;7;;
12.03.2018;18.03.2018;NEG_NT;0;177;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;312;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;299;Netz an Anbieter;15;15;;
12.03.2018;18.03.2018;NEG_HT;0;547;Netz an Anbieter;15;15;;
12.03.2018;18.03.2018;NEG_HT;0;547;Netz an Anbieter;15;15;;
12.03.2018;18.03.2018;NEG_HT;0;547;Netz an Anbieter;15;15;;
12.03.2018;18.03.2018;NEG_HT;0;547;Netz an Anbieter;15;15;;
12.03.2018;18.03.2018;NEG_HT;0;547;Netz an Anbieter;15;15;;
12.03.2018;18.03.2018;NEG_HT;0;547;Netz an Anbieter;15;15;;
12.03.2018;18.03.2018;NEG_NT;0;299;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;547;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;547;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;547;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;547;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;547;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;547;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;547;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;547;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;547;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;547;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;289;Netz an Anbieter;6;6;;
12.03.2018;18.03.2018;NEG_HT;0;442;Netz an Anbieter;12;12;;
12.03.2018;18.03.2018;NEG_HT;0;528;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;233;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;695;Netz an Anbieter;18;18;;
12.03.2018;18.03.2018;NEG_HT;0;501;Netz an Anbieter;7;7;;
12.03.2018;18.03.2018;NEG_HT;0;8,49;Anbieter an Netz;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;4,49;Anbieter an Netz;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;11;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;25;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;74;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;212;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;740;Netz an Anbieter;7;7;;
12.03.2018;18.03.2018;NEG_NT;0;0,45;Anbieter an Netz;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;3,7;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;19;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_NT;0;145;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;419,75;Netz an Anbieter;7;7;;
12.03.2018;18.03.2018;NEG_NT;0;289,75;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;289,75;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;289,75;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;289,75;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;419,75;Netz an Anbieter;7;7;;
12.03.2018;18.03.2018;NEG_HT;0;12,11;Anbieter an Netz;7;7;;
12.03.2018;18.03.2018;NEG_HT;0;348;Netz an Anbieter;9;9;;
12.03.2018;18.03.2018;NEG_NT;0;389;Netz an Anbieter;9;9;;
12.03.2018;18.03.2018;NEG_HT;0;150;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;465;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;150;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;424;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_NT;0;900;Netz an Anbieter;10;10;;
12.03.2018;18.03.2018;NEG_HT;0;470;Netz an Anbieter;150;150;;
12.03.2018;18.03.2018;NEG_HT;0;215;Netz an Anbieter;7;7;;
12.03.2018;18.03.2018;NEG_NT;0;500;Netz an Anbieter;140;140;;
12.03.2018;18.03.2018;NEG_NT;0;215;Netz an Anbieter;7;7;;
12.03.2018;18.03.2018;NEG_HT;0;11,27;Anbieter an Netz;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;5,81;Anbieter an Netz;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;1,11;Anbieter an Netz;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;0,3;Anbieter an Netz;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;19,4;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;7,1;Anbieter an Netz;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;29,8;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;144,44;Netz an Anbieter;5;5;;
12.03.2018;18.03.2018;NEG_HT;0;239,7;Netz an Anbieter;5;5;;
