DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
19.02.2018;25.02.2018;NEG_HT;0;5,95;Anbieter an Netz;5;5;;
19.02.2018;25.02.2018;NEG_HT;0;0,28;Netz an Anbieter;40;40;;
19.02.2018;25.02.2018;NEG_HT;0;0,28;Netz an Anbieter;40;40;;
19.02.2018;25.02.2018;NEG_HT;0;0,28;Netz an Anbieter;40;40;;
19.02.2018;25.02.2018;NEG_HT;0;0,28;Netz an Anbieter;40;40;;
19.02.2018;25.02.2018;NEG_HT;0;2,85;Netz an Anbieter;40;40;;
19.02.2018;25.02.2018;NEG_NT;0;239;Netz an Anbieter;5;5;;
19.02.2018;25.02.2018;NEG_HT;0;1,05;Anbieter an Netz;10;10;;
19.02.2018;25.02.2018;NEG_HT;0;0,71;Anbieter an Netz;10;10;;
19.02.2018;25.02.2018;NEG_HT;0;0,12;Anbieter an Netz;10;10;;
19.02.2018;25.02.2018;NEG_HT;0;0,82;Netz an Anbieter;20;20;;
19.02.2018;25.02.2018;NEG_HT;0;1,11;Netz an Anbieter;20;20;;
19.02.2018;25.02.2018;NEG_HT;0;1,51;Netz an Anbieter;20;20;;
19.02.2018;25.02.2018;NEG_HT;0;2,48;Netz an Anbieter;30;30;;
19.02.2018;25.02.2018;NEG_HT;0;2,87;Netz an Anbieter;30;30;;
19.02.2018;25.02.2018;NEG_HT;0;3,66;Netz an Anbieter;30;30;;
19.02.2018;25.02.2018;NEG_HT;0;3,72;Netz an Anbieter;30;30;;
19.02.2018;25.02.2018;NEG_HT;0;1,05;Netz an Anbieter;10;10;;
19.02.2018;25.02.2018;NEG_NT;0;6,8;Netz an Anbieter;10;10;;
19.02.2018;25.02.2018;NEG_NT;0;18;Netz an Anbieter;10;10;;
19.02.2018;25.02.2018;NEG_NT;0;80,9;Netz an Anbieter;10;10;;
19.02.2018;25.02.2018;NEG_NT;0;214;Netz an Anbieter;5;5;;
