DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
02.04.2018;08.04.2018;NEG_HT;0;180;Netz an Anbieter;10;10;;
02.04.2018;08.04.2018;NEG_HT;0;850;Netz an Anbieter;40;40;;
02.04.2018;08.04.2018;NEG_HT;0;600;Netz an Anbieter;5;5;;
02.04.2018;08.04.2018;NEG_HT;0;4,5;Netz an Anbieter;10;10;;
02.04.2018;08.04.2018;NEG_HT;0;14;Anbieter an Netz;62;62;;
02.04.2018;08.04.2018;NEG_HT;0;14,1;Anbieter an Netz;61;61;;
02.04.2018;08.04.2018;NEG_NT;0;3,7;Anbieter an Netz;62;62;;
02.04.2018;08.04.2018;NEG_NT;0;850;Netz an Anbieter;35;35;;
02.04.2018;08.04.2018;NEG_NT;0;600;Netz an Anbieter;5;5;;
02.04.2018;08.04.2018;NEG_NT;0;3,8;Anbieter an Netz;61;61;;
02.04.2018;08.04.2018;NEG_HT;0;423;Netz an Anbieter;14;14;;
02.04.2018;08.04.2018;NEG_NT;0;445;Netz an Anbieter;5;5;;
02.04.2018;08.04.2018;NEG_HT;0;848;Netz an Anbieter;58;58;;
02.04.2018;08.04.2018;NEG_HT;0;419;Netz an Anbieter;10;10;;
02.04.2018;08.04.2018;NEG_HT;0;179;Netz an Anbieter;6;6;;
02.04.2018;08.04.2018;NEG_HT;0;125;Netz an Anbieter;5;5;;
02.04.2018;08.04.2018;NEG_HT;0;1312,5;Netz an Anbieter;5;5;;
02.04.2018;08.04.2018;NEG_HT;0;314;Netz an Anbieter;8;8;;
02.04.2018;08.04.2018;NEG_HT;0;150;Netz an Anbieter;5;5;;
02.04.2018;08.04.2018;NEG_HT;0;175;Netz an Anbieter;5;5;;
02.04.2018;08.04.2018;NEG_HT;0;7800;Netz an Anbieter;5;5;;
02.04.2018;08.04.2018;NEG_NT;0;168;Netz an Anbieter;5;5;;
02.04.2018;08.04.2018;NEG_NT;0;325;Netz an Anbieter;5;5;;
02.04.2018;08.04.2018;NEG_NT;0;9998;Netz an Anbieter;5;5;;
02.04.2018;08.04.2018;NEG_HT;0;10;Netz an Anbieter;20;20;;
02.04.2018;08.04.2018;NEG_HT;0;10;Netz an Anbieter;20;20;;
02.04.2018;08.04.2018;NEG_HT;0;20;Netz an Anbieter;20;20;;
02.04.2018;08.04.2018;NEG_HT;0;20;Netz an Anbieter;20;20;;
02.04.2018;08.04.2018;NEG_HT;0;50;Netz an Anbieter;20;20;;
02.04.2018;08.04.2018;NEG_HT;0;15,34;Anbieter an Netz;30;30;;
02.04.2018;08.04.2018;NEG_HT;0;15,04;Anbieter an Netz;30;30;;
02.04.2018;08.04.2018;NEG_HT;0;14,29;Anbieter an Netz;20;20;;
02.04.2018;08.04.2018;NEG_HT;0;13,98;Anbieter an Netz;20;20;;
02.04.2018;08.04.2018;NEG_HT;0;13,7;Anbieter an Netz;7;7;;
02.04.2018;08.04.2018;NEG_NT;0;4,13;Anbieter an Netz;30;30;;
02.04.2018;08.04.2018;NEG_NT;0;2,01;Anbieter an Netz;30;30;;
02.04.2018;08.04.2018;NEG_NT;0;8,74;Netz an Anbieter;30;30;;
