DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
05.02.2018;11.02.2018;NEG_HT;0;250;Netz an Anbieter;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;4,1;Anbieter an Netz;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;7,85;Netz an Anbieter;40;40;;
05.02.2018;11.02.2018;NEG_HT;0;7,85;Netz an Anbieter;40;40;;
05.02.2018;11.02.2018;NEG_HT;0;7,85;Netz an Anbieter;40;40;;
05.02.2018;11.02.2018;NEG_HT;0;7,85;Netz an Anbieter;40;40;;
05.02.2018;11.02.2018;NEG_HT;0;7,85;Netz an Anbieter;40;40;;
05.02.2018;11.02.2018;NEG_HT;0;1,78;Netz an Anbieter;10;10;;
05.02.2018;11.02.2018;NEG_HT;0;0,2;Anbieter an Netz;10;10;;
05.02.2018;11.02.2018;NEG_HT;0;2,79;Netz an Anbieter;10;10;;
05.02.2018;11.02.2018;NEG_HT;0;4,12;Netz an Anbieter;20;20;;
05.02.2018;11.02.2018;NEG_HT;0;5,05;Netz an Anbieter;20;20;;
05.02.2018;11.02.2018;NEG_HT;0;6,9;Netz an Anbieter;20;20;;
05.02.2018;11.02.2018;NEG_HT;0;7,82;Netz an Anbieter;30;30;;
05.02.2018;11.02.2018;NEG_HT;0;9,06;Netz an Anbieter;10;10;;
05.02.2018;11.02.2018;NEG_HT;0;9,26;Netz an Anbieter;10;10;;
05.02.2018;11.02.2018;NEG_HT;0;9,38;Netz an Anbieter;10;10;;
05.02.2018;11.02.2018;NEG_HT;0;9,68;Netz an Anbieter;20;20;;
05.02.2018;11.02.2018;NEG_HT;0;9,81;Netz an Anbieter;20;20;;
05.02.2018;11.02.2018;NEG_HT;0;9,92;Netz an Anbieter;30;30;;
05.02.2018;11.02.2018;NEG_HT;0;7,1;Anbieter an Netz;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;0;Anbieter an Netz;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;2,1;Anbieter an Netz;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;9,4;Netz an Anbieter;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;29,4;Netz an Anbieter;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;49,4;Netz an Anbieter;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;69,4;Netz an Anbieter;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;89,4;Netz an Anbieter;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;109,4;Netz an Anbieter;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;129,4;Netz an Anbieter;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;149,4;Netz an Anbieter;5;5;;
05.02.2018;11.02.2018;NEG_HT;0;169,4;Netz an Anbieter;5;5;;
