DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
26.02.2018;04.03.2018;NEG_HT;0;7,55;Anbieter an Netz;5;5;;
26.02.2018;04.03.2018;NEG_HT;0;3,25;Anbieter an Netz;40;40;;
26.02.2018;04.03.2018;NEG_HT;0;3,25;Anbieter an Netz;40;40;;
26.02.2018;04.03.2018;NEG_HT;0;3,25;Anbieter an Netz;40;40;;
26.02.2018;04.03.2018;NEG_HT;0;3,25;Anbieter an Netz;40;40;;
26.02.2018;04.03.2018;NEG_HT;0;3,25;Anbieter an Netz;40;40;;
26.02.2018;04.03.2018;NEG_NT;0;2;Anbieter an Netz;5;5;;
26.02.2018;04.03.2018;NEG_NT;0;0;Anbieter an Netz;5;5;;
26.02.2018;04.03.2018;NEG_NT;0;0;Anbieter an Netz;30;30;;
26.02.2018;04.03.2018;NEG_NT;0;3,1;Netz an Anbieter;20;20;;
26.02.2018;04.03.2018;NEG_NT;0;3,1;Netz an Anbieter;40;40;;
26.02.2018;04.03.2018;NEG_NT;0;3,1;Netz an Anbieter;40;40;;
26.02.2018;04.03.2018;NEG_NT;0;3,1;Netz an Anbieter;20;20;;
26.02.2018;04.03.2018;NEG_NT;0;154;Netz an Anbieter;20;20;;
26.02.2018;04.03.2018;NEG_NT;0;154;Netz an Anbieter;20;20;;
26.02.2018;04.03.2018;NEG_NT;0;4999;Netz an Anbieter;6;6;;
26.02.2018;04.03.2018;NEG_HT;0;279;Netz an Anbieter;15;15;;
26.02.2018;04.03.2018;NEG_HT;0;309;Netz an Anbieter;15;15;;
26.02.2018;04.03.2018;NEG_NT;0;239;Netz an Anbieter;5;5;;
26.02.2018;04.03.2018;NEG_HT;0;5,24;Anbieter an Netz;10;10;;
26.02.2018;04.03.2018;NEG_HT;0;4,8;Anbieter an Netz;10;10;;
26.02.2018;04.03.2018;NEG_HT;0;4,19;Anbieter an Netz;10;10;;
26.02.2018;04.03.2018;NEG_HT;0;3,66;Anbieter an Netz;10;10;;
26.02.2018;04.03.2018;NEG_HT;0;3,24;Anbieter an Netz;10;10;;
26.02.2018;04.03.2018;NEG_HT;0;2,59;Anbieter an Netz;10;10;;
