DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
01.01.2018;07.01.2018;NEG_HT;0;6900;Netz an Anbieter;9;9;;
01.01.2018;07.01.2018;NEG_HT;0;59;Netz an Anbieter;20;20;;
01.01.2018;07.01.2018;NEG_HT;0;184,9;Netz an Anbieter;20;20;;
01.01.2018;07.01.2018;NEG_HT;0;239;Netz an Anbieter;5;5;;
01.01.2018;07.01.2018;NEG_HT;0;77423;Netz an Anbieter;5;5;;
01.01.2018;07.01.2018;NEG_NT;0;5502;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_NT;0;5503;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;422;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1102;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;5501;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;5502;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;198;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;300;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;346;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;747;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;380;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1500;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1500;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;5600;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;13,6;Netz an Anbieter;6;6;X;
01.01.2018;07.01.2018;NEG_HT;0;68;Netz an Anbieter;6;6;X;
01.01.2018;07.01.2018;NEG_HT;0;146;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;411;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;386;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;997;Netz an Anbieter;7;7;X;
01.01.2018;07.01.2018;NEG_HT;0;197;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1115;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1305;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1306;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1307;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1308;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;0;1309;Netz an Anbieter;5;5;X;
01.01.2018;07.01.2018;NEG_HT;1;260;Netz an Anbieter;5;5;;
01.01.2018;07.01.2018;NEG_HT;2;1200;Netz an Anbieter;5;5;;
01.01.2018;07.01.2018;NEG_HT;2;60000;Netz an Anbieter;5;5;;
01.01.2018;07.01.2018;NEG_HT;4,3;201;Netz an Anbieter;6;6;;
01.01.2018;07.01.2018;NEG_HT;5,1;266;Netz an Anbieter;8;8;;
01.01.2018;07.01.2018;NEG_HT;7,8;389;Netz an Anbieter;5;5;;
01.01.2018;07.01.2018;NEG_HT;9,29;1549;Netz an Anbieter;15;15;;
