DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
05.03.2018;11.03.2018;NEG_NT;0;239;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;304;Netz an Anbieter;15;15;;
05.03.2018;11.03.2018;NEG_HT;0;304;Netz an Anbieter;15;15;;
05.03.2018;11.03.2018;NEG_NT;0;777;Netz an Anbieter;13;5;;
05.03.2018;11.03.2018;NEG_HT;0;6,14;Anbieter an Netz;11;11;;
05.03.2018;11.03.2018;NEG_HT;0;5,69;Anbieter an Netz;20;20;;
05.03.2018;11.03.2018;NEG_HT;0;5,37;Anbieter an Netz;20;20;;
05.03.2018;11.03.2018;NEG_HT;0;5,05;Anbieter an Netz;20;20;;
05.03.2018;11.03.2018;NEG_HT;0;4,76;Anbieter an Netz;20;20;;
05.03.2018;11.03.2018;NEG_HT;0;4,61;Anbieter an Netz;30;30;;
05.03.2018;11.03.2018;NEG_HT;0;4,26;Anbieter an Netz;30;30;;
05.03.2018;11.03.2018;NEG_HT;0;3,98;Anbieter an Netz;30;30;;
05.03.2018;11.03.2018;NEG_NT;0;0,12;Anbieter an Netz;11;11;;
05.03.2018;11.03.2018;NEG_NT;0;0,67;Netz an Anbieter;20;20;;
05.03.2018;11.03.2018;NEG_NT;0;1,07;Netz an Anbieter;20;20;;
05.03.2018;11.03.2018;NEG_NT;0;1,88;Netz an Anbieter;20;20;;
05.03.2018;11.03.2018;NEG_NT;0;2,47;Netz an Anbieter;20;20;;
05.03.2018;11.03.2018;NEG_NT;0;2,81;Netz an Anbieter;30;30;;
05.03.2018;11.03.2018;NEG_NT;0;3,67;Netz an Anbieter;30;30;;
05.03.2018;11.03.2018;NEG_NT;0;4,02;Netz an Anbieter;30;30;;
05.03.2018;11.03.2018;NEG_HT;0;250;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;8,78;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;4,95;Anbieter an Netz;40;40;;
05.03.2018;11.03.2018;NEG_HT;0;4,95;Anbieter an Netz;40;40;;
05.03.2018;11.03.2018;NEG_HT;0;4,95;Anbieter an Netz;40;40;;
05.03.2018;11.03.2018;NEG_HT;0;4,95;Anbieter an Netz;40;40;;
05.03.2018;11.03.2018;NEG_HT;0;4,95;Anbieter an Netz;40;40;;
05.03.2018;11.03.2018;NEG_NT;0;0,95;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;3,05;Netz an Anbieter;40;40;;
05.03.2018;11.03.2018;NEG_NT;0;3,05;Netz an Anbieter;40;40;;
05.03.2018;11.03.2018;NEG_NT;0;3,05;Netz an Anbieter;40;40;;
05.03.2018;11.03.2018;NEG_NT;0;3,05;Netz an Anbieter;40;40;;
05.03.2018;11.03.2018;NEG_NT;0;28;Netz an Anbieter;40;40;;
05.03.2018;11.03.2018;NEG_NT;0;148;Netz an Anbieter;40;40;;
05.03.2018;11.03.2018;NEG_HT;0;350;Netz an Anbieter;22;22;;
05.03.2018;11.03.2018;NEG_NT;0;435;Netz an Anbieter;22;22;;
05.03.2018;11.03.2018;NEG_HT;0;298;Netz an Anbieter;8;8;;
05.03.2018;11.03.2018;NEG_HT;0;472;Netz an Anbieter;13;13;;
05.03.2018;11.03.2018;NEG_NT;0;745;Netz an Anbieter;21;21;;
05.03.2018;11.03.2018;NEG_HT;0;6,3;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;1,8;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;37,5;Netz an Anbieter;7;7;;
05.03.2018;11.03.2018;NEG_HT;0;75;Netz an Anbieter;7;7;;
05.03.2018;11.03.2018;NEG_HT;0;135;Netz an Anbieter;7;7;;
05.03.2018;11.03.2018;NEG_HT;0;0,2;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;1,2;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;4,8;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;12,9;Netz an Anbieter;7;7;;
05.03.2018;11.03.2018;NEG_NT;0;122;Netz an Anbieter;7;7;;
05.03.2018;11.03.2018;NEG_NT;0;220;Netz an Anbieter;7;7;;
05.03.2018;11.03.2018;NEG_NT;0;12,9;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;440;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;312;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;8,6;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;2,6;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;1,09;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;4,6;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;6,6;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;0,6;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;99;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;199;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;299;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;399;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;3,1;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;0,69;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;244;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;1,12;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;0,66;Anbieter an Netz;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;2,1;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;419,75;Netz an Anbieter;7;7;;
05.03.2018;11.03.2018;NEG_NT;0;549,75;Netz an Anbieter;7;7;;
05.03.2018;11.03.2018;NEG_HT;0;250;Netz an Anbieter;8;8;;
05.03.2018;11.03.2018;NEG_HT;0;8,2;Anbieter an Netz;8;8;;
05.03.2018;11.03.2018;NEG_HT;0;250;Netz an Anbieter;9;9;;
05.03.2018;11.03.2018;NEG_HT;0;350;Netz an Anbieter;9;9;;
05.03.2018;11.03.2018;NEG_NT;0;150;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;145;Netz an Anbieter;10;10;;
05.03.2018;11.03.2018;NEG_HT;0;280;Netz an Anbieter;11;11;;
05.03.2018;11.03.2018;NEG_NT;0;177;Netz an Anbieter;10;10;;
05.03.2018;11.03.2018;NEG_NT;0;312;Netz an Anbieter;10;10;;
05.03.2018;11.03.2018;NEG_NT;0;500;Netz an Anbieter;7;7;;
05.03.2018;11.03.2018;NEG_NT;0;69,9;Netz an Anbieter;10;10;;
05.03.2018;11.03.2018;NEG_NT;0;265;Netz an Anbieter;10;10;;
05.03.2018;11.03.2018;NEG_HT;0;235;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_HT;0;235;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;235;Netz an Anbieter;5;5;;
05.03.2018;11.03.2018;NEG_NT;0;235;Netz an Anbieter;5;5;;
