DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
18.06.2018;24.06.2018;NEG_HT;0;1289;Netz an Anbieter;15;15;;
18.06.2018;24.06.2018;NEG_HT;0;1289;Netz an Anbieter;14;14;;
18.06.2018;24.06.2018;NEG_HT;0;1289;Netz an Anbieter;5;5;;
18.06.2018;24.06.2018;NEG_NT;0;1089;Netz an Anbieter;13;13;;
18.06.2018;24.06.2018;NEG_NT;0;1089;Netz an Anbieter;14;14;;
18.06.2018;24.06.2018;NEG_NT;0;1089;Netz an Anbieter;5;5;;
18.06.2018;24.06.2018;NEG_HT;0;1450;Netz an Anbieter;5;5;;
18.06.2018;24.06.2018;NEG_HT;0;8;Anbieter an Netz;40;40;;
18.06.2018;24.06.2018;NEG_HT;0;13,84;Anbieter an Netz;40;40;;
18.06.2018;24.06.2018;NEG_HT;0;13,84;Anbieter an Netz;40;40;;
18.06.2018;24.06.2018;NEG_HT;0;13,84;Anbieter an Netz;40;40;;
18.06.2018;24.06.2018;NEG_HT;0;13,84;Anbieter an Netz;40;40;;
18.06.2018;24.06.2018;NEG_HT;0;14,21;Anbieter an Netz;5;5;;
18.06.2018;24.06.2018;NEG_NT;0;6,73;Anbieter an Netz;40;40;;
18.06.2018;24.06.2018;NEG_NT;0;6,73;Anbieter an Netz;40;40;;
18.06.2018;24.06.2018;NEG_NT;0;6,73;Anbieter an Netz;40;40;;
18.06.2018;24.06.2018;NEG_NT;0;6,73;Anbieter an Netz;40;40;;
18.06.2018;24.06.2018;NEG_NT;0;6,73;Anbieter an Netz;40;40;;
18.06.2018;24.06.2018;NEG_NT;0;7,17;Anbieter an Netz;5;5;;
18.06.2018;24.06.2018;NEG_NT;0;1,5;Anbieter an Netz;40;40;;
18.06.2018;24.06.2018;NEG_NT;0;18,35;Netz an Anbieter;40;40;;
18.06.2018;24.06.2018;NEG_NT;0;18,35;Netz an Anbieter;40;40;;
18.06.2018;24.06.2018;NEG_NT;0;18,35;Netz an Anbieter;40;40;;
18.06.2018;24.06.2018;NEG_NT;0;18,35;Netz an Anbieter;40;40;;
18.06.2018;24.06.2018;NEG_NT;0;348;Netz an Anbieter;5;5;;
18.06.2018;24.06.2018;NEG_HT;0;641;Netz an Anbieter;5;5;;
18.06.2018;24.06.2018;NEG_NT;0;1089;Netz an Anbieter;5;5;;
18.06.2018;24.06.2018;NEG_NT;0;8745;Netz an Anbieter;7;7;;
18.06.2018;24.06.2018;NEG_HT;0;12,11;Anbieter an Netz;10;10;;
18.06.2018;24.06.2018;NEG_HT;0;10,94;Anbieter an Netz;10;10;;
