DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
23.04.2018;29.04.2018;NEG_HT;0;3,57;Anbieter an Netz;10;10;;
23.04.2018;29.04.2018;NEG_HT;0;4,6;Anbieter an Netz;10;10;;
23.04.2018;29.04.2018;NEG_HT;0;2,27;Anbieter an Netz;20;20;;
23.04.2018;29.04.2018;NEG_HT;0;1,67;Anbieter an Netz;20;20;;
23.04.2018;29.04.2018;NEG_HT;0;0,23;Anbieter an Netz;20;20;;
23.04.2018;29.04.2018;NEG_HT;0;0,94;Netz an Anbieter;20;20;;
23.04.2018;29.04.2018;NEG_HT;0;1,75;Netz an Anbieter;20;20;;
23.04.2018;29.04.2018;NEG_HT;0;71,74;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_HT;0;88,67;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_HT;0;102,92;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_HT;0;113,14;Netz an Anbieter;21;21;;
23.04.2018;29.04.2018;NEG_HT;0;79,17;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_HT;0;124,19;Netz an Anbieter;21;21;;
23.04.2018;29.04.2018;NEG_NT;0;4,92;Anbieter an Netz;10;10;;
23.04.2018;29.04.2018;NEG_HT;0;3,15;Anbieter an Netz;40;40;;
23.04.2018;29.04.2018;NEG_HT;0;3,15;Anbieter an Netz;40;40;;
23.04.2018;29.04.2018;NEG_HT;0;3,15;Anbieter an Netz;40;40;;
23.04.2018;29.04.2018;NEG_HT;0;3,15;Anbieter an Netz;40;40;;
23.04.2018;29.04.2018;NEG_HT;0;3,15;Anbieter an Netz;40;40;;
23.04.2018;29.04.2018;NEG_HT;0;62;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_NT;0;32;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_NT;0;32;Netz an Anbieter;40;40;;
23.04.2018;29.04.2018;NEG_NT;0;32;Netz an Anbieter;40;40;;
23.04.2018;29.04.2018;NEG_NT;0;55;Netz an Anbieter;40;40;;
23.04.2018;29.04.2018;NEG_NT;0;55;Netz an Anbieter;40;40;;
23.04.2018;29.04.2018;NEG_NT;0;55;Netz an Anbieter;40;40;;
23.04.2018;29.04.2018;NEG_NT;0;135;Netz an Anbieter;40;40;;
23.04.2018;29.04.2018;NEG_NT;0;135;Netz an Anbieter;40;40;;
23.04.2018;29.04.2018;NEG_NT;0;198;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_HT;0;5499;Netz an Anbieter;6;6;;
23.04.2018;29.04.2018;NEG_NT;0;5499;Netz an Anbieter;6;6;;
23.04.2018;29.04.2018;NEG_HT;0;707;Netz an Anbieter;15;15;;
23.04.2018;29.04.2018;NEG_HT;0;707;Netz an Anbieter;14;14;;
23.04.2018;29.04.2018;NEG_HT;0;707;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_HT;0;849;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_HT;0;689;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_HT;0;0,11;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_HT;0;9,8;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_HT;0;24;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_HT;0;71;Netz an Anbieter;5;5;;
23.04.2018;29.04.2018;NEG_HT;0;109;Netz an Anbieter;5;5;;
