DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
26.03.2018;01.04.2018;NEG_HT;0;469;Netz an Anbieter;15;15;;
26.03.2018;01.04.2018;NEG_HT;0;469;Netz an Anbieter;15;15;;
26.03.2018;01.04.2018;NEG_HT;0;5997;Netz an Anbieter;10;10;;
26.03.2018;01.04.2018;NEG_HT;0;5997;Netz an Anbieter;5;5;;
26.03.2018;01.04.2018;NEG_NT;0;488;Netz an Anbieter;15;15;;
26.03.2018;01.04.2018;NEG_NT;0;488;Netz an Anbieter;15;15;;
26.03.2018;01.04.2018;NEG_NT;0;5997;Netz an Anbieter;9;9;;
26.03.2018;01.04.2018;NEG_NT;0;5997;Netz an Anbieter;5;5;;
26.03.2018;01.04.2018;NEG_HT;0;500;Netz an Anbieter;44;44;;
26.03.2018;01.04.2018;NEG_NT;0;849;Netz an Anbieter;42;42;;
26.03.2018;01.04.2018;NEG_HT;0;263;Netz an Anbieter;5;5;;
26.03.2018;01.04.2018;NEG_NT;0;180;Netz an Anbieter;10;10;;
26.03.2018;01.04.2018;NEG_NT;0;263;Netz an Anbieter;5;5;;
26.03.2018;01.04.2018;NEG_HT;0;850;Netz an Anbieter;40;40;;
26.03.2018;01.04.2018;NEG_HT;0;600;Netz an Anbieter;5;5;;
26.03.2018;01.04.2018;NEG_HT;0;12,06;Anbieter an Netz;61;61;;
26.03.2018;01.04.2018;NEG_HT;0;12,48;Anbieter an Netz;64;64;;
26.03.2018;01.04.2018;NEG_HT;0;12,9;Anbieter an Netz;65;65;;
26.03.2018;01.04.2018;NEG_HT;0;13,32;Anbieter an Netz;65;65;;
26.03.2018;01.04.2018;NEG_HT;0;13,74;Anbieter an Netz;63;63;;
26.03.2018;01.04.2018;NEG_NT;0;850;Netz an Anbieter;31;31;;
26.03.2018;01.04.2018;NEG_NT;0;600;Netz an Anbieter;5;5;;
26.03.2018;01.04.2018;NEG_NT;0;2,03;Anbieter an Netz;58;58;;
26.03.2018;01.04.2018;NEG_NT;0;2,39;Anbieter an Netz;63;63;;
26.03.2018;01.04.2018;NEG_NT;0;2,75;Anbieter an Netz;64;64;;
26.03.2018;01.04.2018;NEG_NT;0;3,11;Anbieter an Netz;63;63;;
26.03.2018;01.04.2018;NEG_NT;0;3,47;Anbieter an Netz;65;65;;
26.03.2018;01.04.2018;NEG_HT;0;19;Netz an Anbieter;20;20;;
26.03.2018;01.04.2018;NEG_HT;0;29;Netz an Anbieter;5;5;;
26.03.2018;01.04.2018;NEG_NT;0;19;Netz an Anbieter;20;20;;
26.03.2018;01.04.2018;NEG_HT;0;258;Netz an Anbieter;9;9;;
26.03.2018;01.04.2018;NEG_HT;0;454;Netz an Anbieter;5;5;;
26.03.2018;01.04.2018;NEG_NT;0;458;Netz an Anbieter;6;6;;
26.03.2018;01.04.2018;NEG_HT;0;500;Netz an Anbieter;58;58;;
26.03.2018;01.04.2018;NEG_HT;0;294;Netz an Anbieter;12;12;;
26.03.2018;01.04.2018;NEG_HT;0;89,9;Netz an Anbieter;7;7;;
26.03.2018;01.04.2018;NEG_NT;0;849;Netz an Anbieter;54;54;;
26.03.2018;01.04.2018;NEG_NT;0;399;Netz an Anbieter;12;12;;
26.03.2018;01.04.2018;NEG_NT;0;94,9;Netz an Anbieter;7;7;;
26.03.2018;01.04.2018;NEG_HT;0;469;Netz an Anbieter;10;10;;
26.03.2018;01.04.2018;NEG_HT;0;469;Netz an Anbieter;15;15;;
26.03.2018;01.04.2018;NEG_HT;0;599;Netz an Anbieter;6;6;;
26.03.2018;01.04.2018;NEG_HT;0;599;Netz an Anbieter;10;10;;
26.03.2018;01.04.2018;NEG_HT;0;599;Netz an Anbieter;7;7;;
26.03.2018;01.04.2018;NEG_NT;0;488;Netz an Anbieter;10;10;;
26.03.2018;01.04.2018;NEG_NT;0;488;Netz an Anbieter;15;15;;
26.03.2018;01.04.2018;NEG_NT;0;844;Netz an Anbieter;10;10;;
26.03.2018;01.04.2018;NEG_NT;0;844;Netz an Anbieter;12;12;;
26.03.2018;01.04.2018;NEG_HT;0;5;Netz an Anbieter;20;20;;
